Serial Number:20921469 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-20 13:44:52,13.55,"1,668", , , , , 
2021-08-20 13:44:57,13.64,"1,726", , , , , 
2021-08-20 13:45:02,13.60,"1,141", , , , , 
2021-08-20 13:45:07,13.55,"1,183", , , , , 
2021-08-20 13:45:12,13.55,"1,180", , , , , 
2021-08-20 13:45:17,13.43,"1,181", , , , , 
2021-08-20 13:45:22,13.34,"1,187", , , , , 
2021-08-20 13:45:27,13.34,"1,212", , , , , 
2021-08-20 13:45:32,13.25,"1,192", , , , , 
2021-08-20 13:45:37,13.21,"1,178", , , , , 
2021-08-20 13:45:42,13.17,"1,183", , , , , 
2021-08-20 13:45:47,13.17,"1,051", , , , , 
2021-08-20 13:45:52,13.08,"1,117", , , , , 
2021-08-20 13:45:57,13.04,"1,184", , , , , 
2021-08-20 13:46:02,13.00,"1,171", , , , , 
2021-08-20 13:46:07,13.00,"1,172", , , , , 
2021-08-20 13:46:12,13.00,"1,160", , , , , 
2021-08-20 13:46:17,12.91,"1,149", , , , , 
2021-08-20 13:46:22,12.91,"1,164", , , , , 
2021-08-20 13:46:27,12.87,"1,177", , , , , 
2021-08-20 13:46:32,12.82,"1,168", , , , , 
2021-08-20 13:46:37,12.82,"1,171", , , , , 
2021-08-20 13:46:42,12.82,"1,171", , , , , 
2021-08-20 13:46:47,12.78,"1,169", , , , , 
2021-08-20 13:46:52,12.82,"1,189", , , , , 
2021-08-20 13:46:57,12.78,"1,207", , , , , 
2021-08-20 13:47:02,12.74,"1,188", , , , , 
2021-08-20 13:47:07,12.74,"1,205", , , , , 
2021-08-20 13:47:12,12.70,"1,188", , , , , 
2021-08-20 13:47:17,12.70,"1,202", , , , , 
2021-08-20 13:47:22,12.70,"1,196", , , , , 
2021-08-20 13:47:27,12.70,"1,221", , , , , 
2021-08-20 13:47:32,12.65,"1,212", , , , , 
2021-08-20 13:47:37,12.65,"1,231", , , , , 
2021-08-20 13:47:42,12.65,"1,221", , , , , 
2021-08-20 13:47:47,12.65,"1,171", , , , , 
2021-08-20 13:47:52,12.61,"1,153", , , , , 
2021-08-20 13:47:57,12.57,"1,167", , , , , 
2021-08-20 13:48:02,12.61,"1,189", , , , , 
2021-08-20 13:48:07,12.61,"1,205", , , , , 
2021-08-20 13:48:12,12.57,"1,214", , , , , 
2021-08-20 13:48:17,12.57,"1,220", , , , , 
2021-08-20 13:48:22,12.57,"1,236", , , , , 
2021-08-20 13:48:27,12.52,"1,239", , , , , 
2021-08-20 13:48:32,12.52,"1,272", , , , , 
2021-08-20 13:48:37,12.52,"1,254", , , , , 
2021-08-20 13:48:42,12.52,"1,243", , , , , 
2021-08-20 13:48:47,12.52,"1,243", , , , , 
2021-08-20 13:48:52,12.52,"1,230", , , , , 
2021-08-20 13:48:57,12.57,"1,233", , , , , 
2021-08-20 13:49:02,12.52,"1,250", , , , , 
2021-08-20 13:49:07,12.48,"1,240", , , , , 
2021-08-20 13:49:12,12.48,"1,255", , , , , 
2021-08-20 13:49:17,12.48,"1,293", , , , , 
2021-08-20 13:49:22,12.52,"1,274", , , , , 
2021-08-20 13:49:27,12.44,"1,303", , , , , 
2021-08-20 13:49:32,12.52,"1,268", , , , , 
2021-08-20 13:49:37,12.48,"1,302", , , , , 
2021-08-20 13:49:42,12.48,"1,303", , , , , 
2021-08-20 13:49:47,12.48,"1,307", , , , , 
2021-08-20 13:49:52,12.48,"1,306", , , , , 
2021-08-20 13:49:57,12.48,"1,318", , , , , 
2021-08-20 13:50:02,12.44,"1,327", , , , , 
2021-08-20 13:50:07,12.40,"1,332", , , , , 
2021-08-20 13:50:12,12.44,"1,344", , , , , 
2021-08-20 13:50:17,12.44,"1,345", , , , , 
2021-08-20 13:50:22,12.44,"1,331", , , , , 
2021-08-20 13:50:27,12.40,"1,327", , , , , 
2021-08-20 13:50:32,12.40,"1,344", , , , , 
2021-08-20 13:50:37,12.44,"1,344", , , , , 
2021-08-20 13:50:42,12.40,"1,341", , , , , 
2021-08-20 13:50:47,12.40,"1,345", , , , , 
2021-08-20 13:50:52,12.44,"1,350", , , , , 
2021-08-20 13:50:57,12.40,"1,347", , , , , 
2021-08-20 13:51:02,12.40,"1,343", , , , , 
2021-08-20 13:51:07,12.44,"1,332", , , , , 
2021-08-20 13:51:12,12.40,"1,347", , , , , 
2021-08-20 13:51:17,12.44,"1,341", , , , , 
2021-08-20 13:51:22,12.40,"1,333", , , , , 
2021-08-20 13:51:27,12.44,"1,354", , , , , 
2021-08-20 13:51:32,12.44,"1,348", , , , , 
2021-08-20 13:51:37,12.40,"1,356", , , , , 
2021-08-20 13:51:42,12.40,"1,345", , , , , 
2021-08-20 13:51:47,12.40,"1,361", , , , , 
2021-08-20 13:51:52,12.40,"1,373", , , , , 
2021-08-20 13:51:57,12.40,"1,345", , , , , 
2021-08-20 13:52:02,12.40,"1,332", , , , , 
2021-08-20 13:52:07,12.35,"1,384", , , , , 
2021-08-20 13:52:12,12.35,"1,378", , , , , 
2021-08-20 13:52:17,12.35,"1,374", , , , , 
2021-08-20 13:52:22,12.40,"1,372", , , , , 
2021-08-20 13:52:27,12.40,"1,376", , , , , 
2021-08-20 13:52:32,12.35,"1,376", , , , , 
2021-08-20 13:52:37,12.35,"1,379", , , , , 
2021-08-20 13:52:42,12.40,"1,382", , , , , 
2021-08-20 13:52:47,12.40,"1,384", , , , , 
2021-08-20 13:52:52,12.35,"1,389", , , , , 
2021-08-20 13:52:57,12.35,"1,389", , , , , 
2021-08-20 13:53:02,12.40,"1,366", , , , , 
2021-08-20 13:53:07,12.40,"1,375", , , , , 
2021-08-20 13:53:12,12.31,"1,371", , , , , 
2021-08-20 13:53:17,12.40,"1,362", , , , , 
2021-08-20 13:53:22,12.35,"1,371", , , , , 
2021-08-20 13:53:27,12.35,"1,363", , , , , 
2021-08-20 13:53:32,12.35,"1,377", , , , , 
2021-08-20 13:53:37,12.35,"1,378", , , , , 
2021-08-20 13:53:42,12.40,"1,403", , , , , 
2021-08-20 13:53:47,12.40,"1,360", , , , , 
2021-08-20 13:53:52,12.35,"1,389", , , , , 
2021-08-20 13:53:57,12.35,"1,368", , , , , 
2021-08-20 13:54:02,12.35,"1,395", , , , , 
2021-08-20 13:54:07,12.31,"1,389", , , , , 
2021-08-20 13:54:12,12.40,"1,385", , , , , 
2021-08-20 13:54:17,12.35,"1,383", , , , , 
2021-08-20 13:54:22,12.40,"1,400", , , , , 
2021-08-20 13:54:27,12.40,"1,400", , , , , 
2021-08-20 13:54:32,12.35,"1,396", , , , , 
2021-08-20 13:54:37,12.40,"1,336", , , , , 
2021-08-20 13:54:42,12.40,"1,364", , , , , 
2021-08-20 13:54:47,12.44,"1,353", , , , , 
2021-08-20 13:54:52,12.40,"1,343", , , , , 
2021-08-20 13:54:57,12.40,"1,307", , , , , 
2021-08-20 13:55:02,12.40,"1,311", , , , , 
2021-08-20 13:55:07,12.35,"1,320", , , , , 
2021-08-20 13:55:12,12.35,"1,323", , , , , 
2021-08-20 13:55:17,12.35,"1,351", , , , , 
2021-08-20 13:55:22,12.40,"1,349", , , , , 
2021-08-20 13:55:27,12.31,"1,327", , , , , 
2021-08-20 13:55:32,12.40,928, , , , , 
2021-08-20 13:55:37,12.40,"1,177", , , , , 
2021-08-20 13:55:42,12.35,"1,201", , , , , 
2021-08-20 13:55:47,12.35,"1,153", , , , , 
2021-08-20 13:55:52,12.35,"1,140", , , , , 
2021-08-20 13:55:57,12.35,"1,333", , , , , 
2021-08-20 13:56:02,12.40,"1,336", , , , , 
2021-08-20 13:56:07,12.35,"1,324", , , , , 
2021-08-20 13:56:12,12.35,"1,114", , , , , 
2021-08-20 13:56:17,12.40,"1,229", , , , , 
2021-08-20 13:56:22,12.40,858, , , , , 
2021-08-20 13:56:27,12.40,"1,342", , , , , 
2021-08-20 13:56:32,12.35,"1,336", , , , , 
2021-08-20 13:56:37,12.35,"1,293", , , , , 
2021-08-20 13:56:42,12.31,"1,287", , , , , 
2021-08-20 13:56:47,12.40,"1,340", , , , , 
2021-08-20 13:56:52,12.35,"1,345", , , , , 
2021-08-20 13:56:57,12.40,"1,356", , , , , 
2021-08-20 13:57:02,12.35,"1,354", , , , , 
2021-08-20 13:57:07,12.35,"1,358", , , , , 
2021-08-20 13:57:12,12.40,"1,366", , , , , 
2021-08-20 13:57:17,12.35,"1,368", , , , , 
2021-08-20 13:57:22,12.35,"1,361", , , , , 
2021-08-20 13:57:27,12.40,"1,356", , , , , 
2021-08-20 13:57:32,12.40,"1,351", , , , , 
2021-08-20 13:57:37,12.40,"1,354", , , , , 
2021-08-20 13:57:42,12.40,"1,353", , , , , 
2021-08-20 13:57:47,12.35,"1,352", , , , , 
2021-08-20 13:57:52,12.35,"1,352", , , , , 
2021-08-20 13:57:57,12.40,"1,350", , , , , 
2021-08-20 13:58:02,12.40,"1,349", , , , , 
2021-08-20 13:58:07,12.35,"1,347", , , , , 
