Serial Number:21116236 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-21 07:48:25,12.78,339, , , , , 
2021-08-21 07:48:30,12.82,338, , , , , 
2021-08-21 07:48:35,12.82,225, , , , , 
2021-08-21 07:48:40,12.87,228, , , , , 
2021-08-21 07:48:45,12.87,197, , , , , 
2021-08-21 07:48:50,12.87,175, , , , , 
2021-08-21 07:48:55,12.87,180, , , , , 
2021-08-21 07:49:00,12.78,224, , , , , 
2021-08-21 07:49:05,12.82,226, , , , , 
2021-08-21 07:49:10,12.78,227, , , , , 
2021-08-21 07:49:15,12.74,230, , , , , 
2021-08-21 07:49:20,12.70,227, , , , , 
2021-08-21 07:49:25,12.70,229, , , , , 
2021-08-21 07:49:30,12.70,228, , , , , 
2021-08-21 07:49:35,12.70,226, , , , , 
2021-08-21 07:49:40,12.65,226, , , , , 
2021-08-21 07:49:45,12.65,224, , , , , 
2021-08-21 07:49:50,12.65,225, , , , , 
2021-08-21 07:49:55,12.65,224, , , , , 
2021-08-21 07:50:00,12.61,204, , , , , 
2021-08-21 07:50:05,12.65,230, , , , , 
2021-08-21 07:50:10,12.65,225, , , , , 
2021-08-21 07:50:15,12.57,223, , , , , 
2021-08-21 07:50:20,12.57,224, , , , , 
2021-08-21 07:50:25,12.52,227, , , , , 
2021-08-21 07:50:30,12.57,230, , , , , 
2021-08-21 07:50:35,12.61,230, , , , , 
2021-08-21 07:50:40,12.57,224, , , , , 
2021-08-21 07:50:45,12.52,230, , , , , 
2021-08-21 07:50:50,12.52,226, , , , , 
2021-08-21 07:50:55,12.61,180, , , , , 
2021-08-21 07:51:00,12.52,183, , , , , 
2021-08-21 07:51:05,12.52,183, , , , , 
2021-08-21 07:51:10,12.57,184, , , , , 
2021-08-21 07:51:15,12.52,182, , , , , 
2021-08-21 07:51:20,12.52,183, , , , , 
2021-08-21 07:51:25,12.52,185, , , , , 
2021-08-21 07:51:30,12.52,219, , , , , 
2021-08-21 07:51:35,12.52,211, , , , , 
2021-08-21 07:51:40,12.52,217, , , , , 
2021-08-21 07:51:45,12.57,220, , , , , 
2021-08-21 07:51:50,12.52,223, , , , , 
2021-08-21 07:51:55,12.52,218, , , , , 
2021-08-21 07:52:00,12.52,219, , , , , 
2021-08-21 07:52:05,12.52,193, , , , , 
2021-08-21 07:52:10,12.48,217, , , , , 
2021-08-21 07:52:15,12.48,218, , , , , 
2021-08-21 07:52:20,12.48,217, , , , , 
2021-08-21 07:52:25,12.52,219, , , , , 
2021-08-21 07:52:30,12.52,219, , , , , 
2021-08-21 07:52:35,12.44,223, , , , , 
2021-08-21 07:52:40,12.48,221, , , , , 
2021-08-21 07:52:45,12.48,219, , , , , 
2021-08-21 07:52:50,12.57,221, , , , , 
2021-08-21 07:52:55,12.52,220, , , , , 
2021-08-21 07:53:00,12.48,201, , , , , 
2021-08-21 07:53:05,12.48,218, , , , , 
2021-08-21 07:53:10,12.48,213, , , , , 
2021-08-21 07:53:15,12.48,180, , , , , 
2021-08-21 07:53:20,12.48,153, , , , , 
2021-08-21 07:53:25,12.52,152, , , , , 
2021-08-21 07:53:30,12.44,158, , , , , 
2021-08-21 07:53:35,12.52,191, , , , , 
2021-08-21 07:53:40,12.48,193, , , , , 
2021-08-21 07:53:45,12.48,191, , , , , 
2021-08-21 07:53:50,12.48,193, , , , , 
2021-08-21 07:53:55,12.52,191, , , , , 
2021-08-21 07:54:00,12.48,192, , , , , 
2021-08-21 07:54:05,12.48,191, , , , , 
2021-08-21 07:54:10,12.48,192, , , , , 
2021-08-21 07:54:15,12.48,200, , , , , 
2021-08-21 07:54:20,12.48,192, , , , , 
2021-08-21 07:54:25,12.48,191, , , , , 
2021-08-21 07:54:30,12.48,206, , , , , 
2021-08-21 07:54:35,12.48,219, , , , , 
2021-08-21 07:54:40,12.48,222, , , , , 
2021-08-21 07:54:45,12.48,214, , , , , 
2021-08-21 07:54:50,12.48,221, , , , , 
2021-08-21 07:54:55,12.48,217, , , , , 
2021-08-21 07:55:00,12.48,221, , , , , 
2021-08-21 07:55:05,12.48,213, , , , , 
2021-08-21 07:55:10,12.48,190, , , , , 
2021-08-21 07:55:15,12.48,178, , , , , 
