Serial Number:21116236 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-27 07:53:12,12.31,326, , , , , 
2021-08-27 07:53:17,12.35,336, , , , , 
2021-08-27 07:53:22,12.48,274, , , , , 
2021-08-27 07:53:27,12.44,266, , , , , 
2021-08-27 07:53:32,12.40,266, , , , , 
2021-08-27 07:53:37,12.35,252, , , , , 
2021-08-27 07:53:42,12.35,267, , , , , 
2021-08-27 07:53:47,12.27,263, , , , , 
2021-08-27 07:53:52,12.27,266, , , , , 
2021-08-27 07:53:57,12.27,267, , , , , 
2021-08-27 07:54:02,12.22,261, , , , , 
2021-08-27 07:54:07,12.18,274, , , , , 
2021-08-27 07:54:12,12.14,228, , , , , 
2021-08-27 07:54:17,12.14,254, , , , , 
2021-08-27 07:54:22,12.10,247, , , , , 
2021-08-27 07:54:27,12.10,195, , , , , 
2021-08-27 07:54:32,12.10,202, , , , , 
2021-08-27 07:54:37,12.05,219, , , , , 
2021-08-27 07:54:42,12.01,296, , , , , 
2021-08-27 07:54:47,12.01,286, , , , , 
2021-08-27 07:54:52,11.97,302, , , , , 
2021-08-27 07:54:57,11.92,307, , , , , 
2021-08-27 07:55:02,11.97,309, , , , , 
2021-08-27 07:55:07,11.97,310, , , , , 
2021-08-27 07:55:12,11.92,315, , , , , 
2021-08-27 07:55:17,11.97,317, , , , , 
2021-08-27 07:55:22,11.92,318, , , , , 
2021-08-27 07:55:27,11.92,321, , , , , 
2021-08-27 07:55:32,11.92,322, , , , , 
2021-08-27 07:55:37,11.92,323, , , , , 
2021-08-27 07:55:42,11.88,324, , , , , 
2021-08-27 07:55:47,11.88,324, , , , , 
2021-08-27 07:55:52,11.88,324, , , , , 
2021-08-27 07:55:57,11.88,325, , , , , 
2021-08-27 07:56:02,11.88,326, , , , , 
2021-08-27 07:56:07,11.88,316, , , , , 
2021-08-27 07:56:12,11.88,326, , , , , 
2021-08-27 07:56:17,11.88,327, , , , , 
2021-08-27 07:56:22,11.84,318, , , , , 
2021-08-27 07:56:27,11.88,296, , , , , 
2021-08-27 07:56:32,11.84,235, , , , , 
2021-08-27 07:56:37,11.84,237, , , , , 
2021-08-27 07:56:42,11.84,306, , , , , 
2021-08-27 07:56:47,11.88,248, , , , , 
2021-08-27 07:56:52,11.79,251, , , , , 
2021-08-27 07:56:57,11.88,250, , , , , 
2021-08-27 07:57:02,11.84,260, , , , , 
2021-08-27 07:57:07,11.79,300, , , , , 
2021-08-27 07:57:12,11.84,321, , , , , 
2021-08-27 07:57:17,11.79,330, , , , , 
2021-08-27 07:57:22,11.79,328, , , , , 
2021-08-27 07:57:27,11.84,334, , , , , 
2021-08-27 07:57:32,11.84,291, , , , , 
2021-08-27 07:57:37,11.79,254, , , , , 
2021-08-27 07:57:42,11.79,254, , , , , 
2021-08-27 07:57:47,11.79,308, , , , , 
2021-08-27 07:57:52,11.79,332, , , , , 
2021-08-27 07:57:57,11.79,329, , , , , 
2021-08-27 07:58:02,11.79,331, , , , , 
2021-08-27 07:58:07,11.79,330, , , , , 
2021-08-27 07:58:12,11.79,331, , , , , 
2021-08-27 07:58:17,11.79,332, , , , , 
2021-08-27 07:58:22,11.79,332, , , , , 
2021-08-27 07:58:27,11.84,335, , , , , 
2021-08-27 07:58:32,11.79,333, , , , , 
2021-08-27 07:58:37,11.79,334, , , , , 
2021-08-27 07:58:42,11.79,334, , , , , 
