Serial Number:21116236 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-28 08:14:50,12.44,"2,003", , , , , 
2021-08-28 08:14:55,12.48,"1,952", , , , , 
2021-08-28 08:15:00,12.52,664, , , , , 
2021-08-28 08:15:05,12.52,"1,250", , , , , 
2021-08-28 08:15:10,12.48,"1,253", , , , , 
2021-08-28 08:15:15,12.44,"1,259", , , , , 
2021-08-28 08:15:20,12.40,"1,281", , , , , 
2021-08-28 08:15:25,12.40,"1,186", , , , , 
2021-08-28 08:15:30,12.31,"1,270", , , , , 
2021-08-28 08:15:35,12.31,"1,318", , , , , 
2021-08-28 08:15:40,12.27,"1,328", , , , , 
2021-08-28 08:15:45,12.22,"1,341", , , , , 
2021-08-28 08:15:50,12.22,"1,356", , , , , 
2021-08-28 08:15:55,12.18,"1,373", , , , , 
2021-08-28 08:16:00,12.18,"1,395", , , , , 
2021-08-28 08:16:05,12.10,"1,380", , , , , 
2021-08-28 08:16:10,12.14,755, , , , , 
2021-08-28 08:16:15,12.10,750, , , , , 
2021-08-28 08:16:20,12.14,750, , , , , 
2021-08-28 08:16:25,12.10,756, , , , , 
2021-08-28 08:16:30,12.05,910, , , , , 
2021-08-28 08:16:35,12.10,932, , , , , 
2021-08-28 08:16:40,12.01,925, , , , , 
2021-08-28 08:16:45,12.01,925, , , , , 
2021-08-28 08:16:50,12.01,865, , , , , 
2021-08-28 08:16:55,12.01,810, , , , , 
2021-08-28 08:17:00,11.97,785, , , , , 
2021-08-28 08:17:05,11.97,781, , , , , 
2021-08-28 08:17:10,11.97,792, , , , , 
2021-08-28 08:17:15,11.97,"1,382", , , , , 
2021-08-28 08:17:20,11.97,"1,444", , , , , 
2021-08-28 08:17:25,11.97,"1,455", , , , , 
2021-08-28 08:17:30,11.92,"1,431", , , , , 
2021-08-28 08:17:35,11.92,"1,439", , , , , 
2021-08-28 08:17:40,11.92,"1,443", , , , , 
2021-08-28 08:17:45,11.88,"1,450", , , , , 
2021-08-28 08:17:50,11.92,"1,443", , , , , 
2021-08-28 08:17:55,11.92,"1,329", , , , , 
2021-08-28 08:18:00,11.88,723, , , , , 
2021-08-28 08:18:05,11.84,730, , , , , 
2021-08-28 08:18:10,11.97,"1,086", , , , , 
2021-08-28 08:18:15,11.92,"1,065", , , , , 
2021-08-28 08:18:20,11.92,"1,393", , , , , 
2021-08-28 08:18:25,11.88,"1,443", , , , , 
2021-08-28 08:18:30,11.88,"1,479", , , , , 
2021-08-28 08:18:35,11.88,"1,468", , , , , 
2021-08-28 08:18:40,11.84,"1,469", , , , , 
2021-08-28 08:18:45,11.88,"1,468", , , , , 
2021-08-28 08:18:50,11.88,"1,472", , , , , 
2021-08-28 08:18:55,11.84,"1,472", , , , , 
2021-08-28 08:19:00,11.88,"1,473", , , , , 
2021-08-28 08:19:05,11.88,"1,477", , , , , 
2021-08-28 08:19:10,11.84,"1,477", , , , , 
2021-08-28 08:19:15,11.88,"1,480", , , , , 
2021-08-28 08:19:20,11.88,"1,479", , , , , 
2021-08-28 08:19:25,11.88,"1,480", , , , , 
2021-08-28 08:19:30,11.88,"1,486", , , , , 
2021-08-28 08:19:35,11.84,"1,483", , , , , 
2021-08-28 08:19:40,11.88,"1,480", , , , , 
2021-08-28 08:19:45,11.84,"1,480", , , , , 
2021-08-28 08:19:50,11.84,"1,451", , , , , 
2021-08-28 08:19:55,11.88,"1,472", , , , , 
2021-08-28 08:20:00,11.84,"1,468", , , , , 
2021-08-28 08:20:05,11.84,"1,471", , , , , 
2021-08-28 08:20:10,11.84,"1,469", , , , , 
2021-08-28 08:20:15,11.84,"1,470", , , , , 
2021-08-28 08:20:20,11.88,"1,482", , , , , 
2021-08-28 08:20:25,11.84,"1,482", , , , , 
2021-08-28 08:20:30,11.79,"1,476", , , , , 
2021-08-28 08:20:35,11.79,"1,344", , , , , 
2021-08-28 08:20:40,11.84,"1,089", , , , , 
2021-08-28 08:20:45,11.84,"1,105", , , , , 
2021-08-28 08:20:50,11.84,"1,485", , , , , 
2021-08-28 08:20:55,11.84,"1,112", , , , , 
2021-08-28 08:21:00,11.79,"1,152", , , , , 
2021-08-28 08:21:05,11.79,"1,127", , , , , 
2021-08-28 08:21:10,11.79,"1,146", , , , , 
2021-08-28 08:21:15,11.79,"1,228", , , , , 
2021-08-28 08:21:20,11.79,"1,275", , , , , 
2021-08-28 08:21:25,11.79,"1,471", , , , , 
2021-08-28 08:21:30,11.84,"1,487", , , , , 
2021-08-28 08:21:35,11.84,"1,132", , , , , 
2021-08-28 08:21:40,11.84,"1,115", , , , , 
2021-08-28 08:21:45,11.79,"1,483", , , , , 
2021-08-28 08:21:50,11.84,"1,480", , , , , 
2021-08-28 08:21:55,11.79,"1,440", , , , , 
2021-08-28 08:22:00,11.88,"1,498", , , , , 
2021-08-28 08:22:05,11.75,"1,487", , , , , 
2021-08-28 08:22:10,11.84,"1,495", , , , , 
2021-08-28 08:22:15,11.84,"1,501", , , , , 
2021-08-28 08:22:20,11.84,"1,503", , , , , 
2021-08-28 08:22:25,11.79,"1,506", , , , , 
2021-08-28 08:22:30,11.84,"1,507", , , , , 
2021-08-28 08:22:35,11.79,"1,510", , , , , 
2021-08-28 08:22:40,11.84,"1,460", , , , , 
2021-08-28 08:22:45,11.84,"1,471", , , , , 
2021-08-28 08:22:50,11.79,"1,439", , , , , 
2021-08-28 08:22:55,11.79,"1,436", , , , , 
2021-08-28 08:23:00,11.79,"1,317", , , , , 
2021-08-28 08:23:05,11.84,"1,513", , , , , 
2021-08-28 08:23:10,11.79,"1,511", , , , , 
2021-08-28 08:23:15,11.84,"1,344", , , , , 
2021-08-28 08:23:20,11.79,882, , , , , 
2021-08-28 08:23:25,11.84,"1,046", , , , , 
2021-08-28 08:23:30,11.84,"1,280", , , , , 
2021-08-28 08:23:35,11.79,"1,296", , , , , 
2021-08-28 08:23:40,11.79,"1,188", , , , , 
2021-08-28 08:23:45,11.84,"1,512", , , , , 
2021-08-28 08:23:50,11.84,"1,460", , , , , 
2021-08-28 08:23:55,11.79,"1,463", , , , , 
2021-08-28 08:24:00,11.79,"1,472", , , , , 
2021-08-28 08:24:05,11.79,"1,514", , , , , 
2021-08-28 08:24:10,11.79,"1,511", , , , , 
2021-08-28 08:24:15,11.79,"1,482", , , , , 
2021-08-28 08:24:20,11.75,"1,507", , , , , 
2021-08-28 08:24:25,11.84,942, , , , , 
2021-08-28 08:24:30,11.79,"1,100", , , , , 
2021-08-28 08:24:35,11.79,"1,407", , , , , 
2021-08-28 08:24:40,11.75,"1,552", , , , , 
2021-08-28 08:24:45,11.79,"1,534", , , , , 
2021-08-28 08:24:50,11.75,"1,542", , , , , 
2021-08-28 08:24:55,11.79,"1,536", , , , , 
2021-08-28 08:25:00,11.84,"1,542", , , , , 
2021-08-28 08:25:05,11.84,"1,544", , , , , 
2021-08-28 08:25:10,11.79,"1,541", , , , , 
2021-08-28 08:25:15,11.79,"1,487", , , , , 
2021-08-28 08:25:20,11.79,"1,536", , , , , 
2021-08-28 08:25:25,11.84,"1,533", , , , , 
2021-08-28 08:25:30,11.84,"1,552", , , , , 
2021-08-28 08:25:35,11.84,"1,549", , , , , 
2021-08-28 08:25:40,11.79,"1,553", , , , , 
2021-08-28 08:25:45,11.84,"1,554", , , , , 
2021-08-28 08:25:50,11.79,"1,554", , , , , 
2021-08-28 08:25:55,11.84,"1,555", , , , , 
2021-08-28 08:26:00,11.84,"1,558", , , , , 
2021-08-28 08:26:05,11.84,"1,561", , , , , 
2021-08-28 08:26:10,11.79,"1,562", , , , , 
2021-08-28 08:26:15,11.84,"1,563", , , , , 
2021-08-28 08:26:20,11.84,"1,566", , , , , 
2021-08-28 08:26:25,11.79,"1,568", , , , , 
2021-08-28 08:26:30,11.84,"1,570", , , , , 
2021-08-28 08:26:35,11.84,"1,571", , , , , 
2021-08-28 08:26:40,11.79,"1,570", , , , , 
2021-08-28 08:26:45,11.79,"1,571", , , , , 
2021-08-28 08:26:50,11.79,"1,579", , , , , 
2021-08-28 08:26:55,11.84,"1,583", , , , , 
2021-08-28 08:27:00,11.79,"1,542", , , , , 
2021-08-28 08:27:05,11.79,"1,564", , , , , 
2021-08-28 08:27:10,11.79,"1,563", , , , , 
2021-08-28 08:27:15,11.79,"1,566", , , , , 
2021-08-28 08:27:20,11.84,"1,580", , , , , 
2021-08-28 08:27:25,11.84,"1,578", , , , , 
2021-08-28 08:27:30,11.79,"1,578", , , , , 
2021-08-28 08:27:35,11.88,"1,580", , , , , 
2021-08-28 08:27:40,11.88,"1,581", , , , , 
2021-08-28 08:27:45,11.84,"1,588", , , , , 
2021-08-28 08:27:50,11.84,"1,588", , , , , 
2021-08-28 08:27:55,11.84,"1,587", , , , , 
2021-08-28 08:28:00,11.84,"1,588", , , , , 
2021-08-28 08:28:05,11.84,"1,590", , , , , 
2021-08-28 08:28:10,11.79,"1,590", , , , , 
2021-08-28 08:28:15,11.84,"1,595", , , , , 
2021-08-28 08:28:20,11.79,"1,595", , , , , 
2021-08-28 08:28:25,11.84,"1,595", , , , , 
2021-08-28 08:28:30,11.79,"1,597", , , , , 
2021-08-28 08:28:35,11.84,"1,599", , , , , 
2021-08-28 08:28:40,11.84,"1,597", , , , , 
2021-08-28 08:28:45,11.84,"1,603", , , , , 
2021-08-28 08:28:50,11.84,"1,603", , , , , 
2021-08-28 08:28:55,11.79,"1,603", , , , , 
2021-08-28 08:29:00,11.84,"1,605", , , , , 
2021-08-28 08:29:05,11.84,"1,601", , , , , 
2021-08-28 08:29:10,11.84,"1,603", , , , , 
2021-08-28 08:29:15,11.84,"1,601", , , , , 
2021-08-28 08:29:20,11.84,"1,604", , , , , 
2021-08-28 08:29:25,11.79,"1,605", , , , , 
2021-08-28 08:29:30,11.84,"1,605", , , , , 
2021-08-28 08:29:35,11.84,"1,606", , , , , 
2021-08-28 08:29:40,11.88,"1,601", , , , , 
2021-08-28 08:29:45,11.79,"1,608", , , , , 
2021-08-28 08:29:50,11.79,"1,608", , , , , 
2021-08-28 08:29:55,11.88,"1,608", , , , , 
2021-08-28 08:30:00,11.84,"1,608", , , , , 
2021-08-28 08:30:05,11.88,"1,610", , , , , 
2021-08-28 08:30:10,11.84,"1,610", , , , , 
