mass_A
t,x,y,v,a,L
2.033333333E2,-3.766785604E0,-1.738833831E1,7.021052598E-1,5.219737021E-2,5.666550841E1
2.066666667E2,-4.052248520E0,-1.797265292E1,1.372471804E-1,1.278803372E-1,5.731582575E1
2.100000000E2,-4.054455394E0,-1.825692146E1,1.432446229E-1,4.071694869E-3,5.760010286E1
2.133333333E2,-4.483860222E0,-1.882451434E1,1.566769973E-1,6.108636098E-2,5.831182625E1
2.166666667E2,-4.631033308E0,-1.912787839E1,2.712650457E-1,3.909865070E-2,5.864900523E1
2.200000000E2,-5.358374598E0,-1.724158767E1,3.015828726E-1,3.010092064E-2,6.067066742E1
2.233333333E2,-5.642783995E0,-1.739044297E1,1.087611719E-1,5.248845391E-2,6.099167615E1
2.266666667E2,-5.788393948E0,-1.782538246E1,1.266350453E-1,5.948689876E-3,6.145034229E1
2.300000000E2,-6.366285607E0,-1.782550141E1,9.002084028E-2,7.630850989E-3,6.202823396E1
2.333333333E2,-6.371014749E0,-1.796932601E1,6.901779585E-2,5.943400938E-2,6.217213628E1
2.366666667E2,-6.515207715E0,-1.826085342E1,4.277062038E-1,4.554892676E-2,6.249737441E1
2.400000000E2,-9.121506084E0,-1.721757136E1,4.730271021E-1,2.432554753E-1,6.530472701E1
2.433333333E2,-9.542549501E0,-1.737776093E1,1.437346889E0,1.318688516E-1,6.575521370E1
2.466666667E2,-1.150000000E1,-2.650000000E1,1.462180270E0,1.272396161E-1,7.508510428E1
2.500000000E2,-1.396301528E1,-2.606570786E1,4.392682246E-1,2.496542646E-1,7.758611486E1
2.533333333E2,-1.439566917E1,-2.606302431E1,6.136969477E-2,7.469144895E-2,7.801877707E1
2.566666667E2,-1.425073241E1,-2.577483457E1,6.070642981E-2,8.964575149E-2,7.834136038E1
2.600000000E2,-1.411245186E1,-2.577392613E1,5.651590607E-1,4.090476769E-2,7.847964392E1
2.633333333E2,-1.801561468E1,-2.592122023E1,4.663114779E-1,4.320495356E-2,8.238558498E1
2.666666667E2,-1.713655263E1,-2.649441120E1,9.666961143E-2,7.821849099E-2,8.343501244E1
2.700000000E2,-1.772298692E1,-2.649541787E1,1.114632274E-1,2.619403364E-2,8.402144759E1
2.733333333E2,-1.786538012E1,-2.663929231E1,4.245977872E-2,1.496615129E-2,8.422387209E1
2.766666667E2,-1.800580496E1,-2.650724405E1,2.188266207E-2,5.539506672E-3,8.441663070E1
2.800000000E2,-1.801126084E1,-2.663825422E1,2.101853346E-2,3.852419982E-3,8.454775442E1
2.833333333E2,-1.800573750E1,-2.664736759E1,5.478989874E-4,3.405037249E-3,8.455841091E1
2.866666667E2,-1.801454711E1,-2.663665976E1,2.794696024E-2,2.242626082E-3,8.457227695E1
2.900000000E2,-1.814509258E1,-2.677103133E1,1.918147319E-2,3.142459859E-2,8.475962112E1
2.933333333E2,-1.814195774E1,-2.664756523E1,1.770464344E-1,1.377389200E-2,8.488312702E1
2.966666667E2,-1.756429236E1,-2.779855349E1,1.727635761E-1,1.555971087E-2,8.617094349E1
3.000000000E2,-1.758594152E1,-2.765622302E1,2.096837836E-2,2.803949876E-2,8.631491101E1
3.033333333E2,-1.759857818E1,-2.766303411E1,2.275387161E-2,5.546601068E-3,8.632926637E1
3.066666667E2,-1.759202285E1,-2.780779355E1,2.229231982E-2,4.209292731E-3,8.647417415E1
3.100000000E2,-1.760574148E1,-2.781147684E1,2.203389260E-2,8.845211908E-3,8.648837864E1
3.133333333E2,-1.773765415E1,-2.778858510E1,4.508103865E-2,3.566171445E-3,8.662226286E1
3.166666667E2,-1.786731675E1,-2.766348080E1,4.490440905E-2,3.674449601E-3,8.680243909E1
3.200000000E2,-1.800518274E1,-2.765424785E1,3.009158158E-2,2.204851442E-3,8.694061391E1
3.233333333E2,-1.800247944E1,-2.751523899E1,2.931125754E-2,3.001165435E-3,8.707964906E1
3.266666667E2,-1.813554913E1,-2.750868330E1,4.421692126E-2,4.072875970E-3,8.721288014E1
3.300000000E2,-1.829710081E1,-2.750558553E1,5.031308901E-2,5.152747832E-3,8.737446151E1
3.333333333E2,-1.843854613E1,-2.736480906E1,6.018311090E-2,2.355796406E-2,8.757402301E1
3.366666667E2,-1.858559148E1,-2.722674648E1,1.063967575E-1,1.451822422E-2,8.777572480E1
3.400000000E2,-1.787450559E1,-2.693471445E1,1.129682339E-1,9.260575634E-3,8.854444181E1
3.433333333E2,-1.788576910E1,-2.694846475E1,2.612574156E-3,2.293307360E-2,8.856221644E1
3.466666667E2,-1.788858618E1,-2.694496601E1,2.183152534E-2,6.780425371E-3,8.856670835E1
3.500000000E2,-1.803067119E1,-2.693481577E1,5.013817755E-2,2.185122880E-3,8.870915545E1
