mass_A
t,x,y,v,a,L
1.833333333E2,2.162017376E0,1.472922444E1,3.544977044E-1,9.382181885E-2,5.780205830E1
1.866666667E2,1.917820430E0,1.497757962E1,4.436135832E-1,1.062536253E-1,5.815035766E1
1.900000000E2,-7.339084388E-1,1.412924967E1,4.631619595E-1,3.725863286E-2,6.093447865E1
1.933333333E2,-9.711284566E-1,1.388755570E1,5.121951747E-2,7.653472333E-2,6.127313675E1
1.966666667E2,-9.746585781E-1,1.388709960E1,1.838998215E-2,9.263100340E-2,6.127669622E1
2.000000000E2,-9.744269297E-1,1.401011120E1,4.974512201E-1,4.562561731E-2,6.139970805E1
2.033333333E2,2.158636090E0,1.497364699E1,5.093364340E-1,1.384517351E-1,6.467758619E1
2.066666667E2,2.038991163E0,1.557511897E1,6.124041212E-1,1.144085585E-1,6.529084261E1
2.100000000E2,-1.702061515E0,1.630157977E1,4.315037552E-1,7.299327179E-2,6.910177694E1
2.133333333E2,-8.333333333E-1,1.541666667E1,1.831917841E-1,7.922745636E-2,7.034184139E1
2.166666667E2,-6.836168775E-1,1.562756801E1,6.499772522E-2,3.598423146E-2,7.060048090E1
2.200000000E2,-1.076328815E0,1.505789399E1,4.211983991E-2,6.721939473E-2,7.129239936E1
2.233333333E2,-9.472687335E-1,1.553094638E1,4.128489451E-1,3.067035019E-2,7.178274115E1
2.266666667E2,6.057275233E-1,1.723642252E1,2.814733777E-1,8.779437669E-2,7.408935040E1
2.300000000E2,3.725591751E-1,1.686483767E1,3.081807456E-1,3.998480685E-2,7.452803341E1
2.333333333E2,-9.507235971E-1,1.589530822E1,3.966887909E-2,5.610358089E-2,7.616847988E1
2.366666667E2,2.462268972E-1,1.663250424E1,2.466392705E-1,4.067437241E-2,7.757423536E1
2.400000000E2,3.798083031E-1,1.686137331E1,1.208177812E-1,6.288888792E-2,7.783923543E1
2.433333333E2,6.169206744E-1,1.734758385E1,1.029261810E-1,8.951546126E-3,7.838018180E1
2.466666667E2,-1.013629530E-1,1.637218038E1,3.613443863E-2,3.749991082E-2,7.959152126E1
2.500000000E2,8.577985405E-1,1.734460718E1,3.077771256E-1,2.200332395E-2,8.095739266E1
2.533333333E2,1.341139074E0,1.783138087E1,1.059594032E-1,6.970571351E-2,8.164337130E1
2.566666667E2,1.466291527E0,1.770339908E1,2.821911730E-1,4.067051934E-2,8.182237542E1
2.600000000E2,-1.057594934E-1,1.903374447E1,3.092520983E-1,7.345388099E-2,8.388178389E1
2.633333333E2,-3.512748082E-1,1.867652792E1,3.079660702E-1,8.550631214E-2,8.431523681E1
2.666666667E2,1.219809676E0,1.746590670E1,3.402247606E-1,6.903448810E-2,8.629864555E1
2.700000000E2,1.701500846E0,1.771180781E1,2.317722244E-1,1.304459651E-1,8.683947245E1
2.733333333E2,1.364545592E-2,1.843164513E1,5.793353516E-1,8.839060365E-2,8.867441702E1
2.766666667E2,-1.316716656E0,2.012162679E1,2.810078416E-1,1.216651364E-1,9.082520789E1
2.800000000E2,1.820825781E0,1.793801276E1,5.725596554E-1,1.613280918E-2,9.464781731E1
2.833333333E2,1.819003410E0,1.794510662E1,1.851302824E-2,9.749809968E-2,9.465514151E1
2.866666667E2,1.943326620E0,1.792297656E1,1.659620841E-2,5.572160353E-2,9.478141898E1
2.900000000E2,1.929331972E0,1.795342078E1,3.190599622E-1,4.192968647E-2,9.481492571E1
2.933333333E2,1.309709237E-1,1.903642991E1,3.761700041E-1,2.061228968E-2,9.691421398E1
2.966666667E2,-4.723348882E-1,1.867526374E1,1.143921647E-1,6.592514192E-2,9.761736325E1
3.000000000E2,-5.922922732E-1,1.879462189E1,9.013334269E-2,2.747794012E-2,9.778658542E1
3.033333333E2,-1.138772284E-1,1.915752471E1,1.054536945E-1,4.820370463E-3,9.838706806E1
3.066666667E2,-2.279170594E-1,1.939584925E1,4.052941129E-2,1.426419758E-2,9.865127190E1
3.100000000E2,6.669794869E-3,1.939933938E1,2.551453176E-2,9.087285409E-3,9.888588472E1
3.133333333E2,-1.111883498E-1,1.951957215E1,3.573930980E-2,3.520412737E-2,9.905424879E1
3.166666667E2,-2.315802512E-1,1.939694620E1,2.018996608E-1,1.457012945E-2,9.922609562E1
3.200000000E2,-3.507708114E-1,2.084407589E1,1.307251385E-1,1.888899632E-2,1.006781255E2
3.233333333E2,-9.534654796E-1,1.988520389E1,1.278928372E-1,2.640537079E-2,1.018106785E2
3.266666667E2,-9.536046183E-1,2.024112447E1,8.973505846E-2,3.445035282E-2,1.021665991E2
3.300000000E2,-5.938226178E-1,2.036326310E1,7.727986499E-2,7.760049008E-3,1.025465477E2
3.333333333E2,-5.891072039E-1,2.060522850E1,4.065757098E-2,2.301883700E-2,1.027885591E2
3.366666667E2,-4.724867673E-1,2.060563878E1,1.637876843E-1,2.278722991E-2,1.029051802E2
3.400000000E2,-4.718310425E-1,2.169083017E1,7.190719675E-2,3.063132094E-2,1.039903718E2
3.433333333E2,6.888932757E-3,2.060795829E1,1.457766156E-1,1.233513276E-2,1.051743415E2
3.466666667E2,-9.558432594E-1,2.084808873E1,1.773371838E-1,2.699025398E-2,1.061665693E2
3.500000000E2,-4.692966088E-1,2.169006614E1,1.022300765E-1,3.810492938E-2,1.071390165E2
3.533333333E2,-4.710304180E-1,2.132709279E1,1.538828683E-1,3.131259939E-2,1.075019940E2
3.566666667E2,-8.339194395E-1,2.073116477E1,1.273544703E-1,3.777917459E-2,1.081997179E2
3.600000000E2,-3.532678621E-1,2.048626963E1,3.246429785E-1,5.098796389E-2,1.087391617E2
3.633333333E2,1.354710709E-1,1.879611485E1,7.647585007E-2,5.408895944E-2,1.104985618E2
3.666666667E2,-7.146470178E-1,2.084590961E1,2.946566817E-1,2.491766921E-2,1.127176516E2
3.700000000E2,-2.319021620E-1,2.072583435E1,6.535337340E-2,5.547752355E-2,1.132151058E2
3.733333333E2,-3.523702739E-1,2.108794391E1,1.811917583E-2,9.480612378E-3,1.135967285E2
3.766666667E2,-2.286611163E-1,2.084658537E1,2.542101653E-2,6.554788120E-3,1.138679441E2
3.800000000E2,-2.318681412E-1,2.096877812E1,2.534479606E-2,6.580203088E-2,1.139901789E2
3.833333333E2,-1.103222080E-1,2.096718876E1,3.452747816E-1,2.885176816E-2,1.141117352E2
3.866666667E2,-1.797447988E0,2.265619915E1,7.487120677E-2,6.058222164E-2,1.164990244E2
3.900000000E2,-5.959949674E-1,2.085201894E1,3.455965553E-1,4.108665914E-2,1.186666396E2
3.933333333E2,-1.088986026E-1,2.108868164E1,9.776746011E-2,6.022975439E-2,1.192081856E2
3.966666667E2,1.178694130E-2,2.108743839E1,1.787596086E-2,2.720360924E-2,1.193288775E2
4.000000000E2,-2.280683734E-1,2.108956872E1,9.078605423E-2,8.306745574E-3,1.195687423E2
4.033333333E2,-5.934067287E-1,2.109495617E1,2.529380399E-2,1.469283757E-2,1.199341204E2
4.066666667E2,-1.087198260E-1,2.120869233E1,6.505537686E-2,3.413204977E-2,1.204319731E2
4.100000000E2,-2.293383534E-1,2.133065108E1,1.921813728E-1,2.631230623E-2,1.206035037E2
4.133333333E2,7.348610828E-1,2.217298904E1,1.821402578E-2,4.314838572E-2,1.218838216E2
4.166666667E2,-2.294719437E-1,2.145207784E1,2.514174420E-1,9.420106116E-3,1.230878362E2
4.200000000E2,-7.137795457E-1,2.132989586E1,1.155155947E-1,2.801956321E-2,1.235873182E2
4.233333333E2,3.717157417E-1,2.193336101E1,4.092535192E-2,6.319417837E-3,1.248292805E2
