Serial Number:21116236 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-28 12:27:47,20.63,"2,463", , , , , 
2021-08-28 12:27:52,20.59,"4,362", , , , , 
2021-08-28 12:27:57,20.59,"2,733", , , , , 
2021-08-28 12:28:02,20.33,"2,847", , , , , 
2021-08-28 12:28:07,19.99,"2,847", , , , , 
2021-08-28 12:28:12,19.65,"2,875", , , , , 
2021-08-28 12:28:17,19.30,"2,760", , , , , 
2021-08-28 12:28:22,18.96,"2,799", , , , , 
2021-08-28 12:28:27,18.62,"2,840", , , , , 
2021-08-28 12:28:32,18.32,"2,884", , , , , 
2021-08-28 12:28:37,18.06,"2,860", , , , , 
2021-08-28 12:28:42,17.76,"2,863", , , , , 
2021-08-28 12:28:47,17.54,"2,845", , , , , 
2021-08-28 12:28:52,17.33,"2,956", , , , , 
2021-08-28 12:28:57,17.16,"2,964", , , , , 
2021-08-28 12:29:02,16.90,"2,988", , , , , 
2021-08-28 12:29:07,16.77,"2,982", , , , , 
2021-08-28 12:29:12,16.60,"2,971", , , , , 
2021-08-28 12:29:17,16.43,"2,961", , , , , 
2021-08-28 12:29:22,16.26,"2,801", , , , , 
2021-08-28 12:29:27,16.17,"2,854", , , , , 
2021-08-28 12:29:32,16.04,"2,868", , , , , 
2021-08-28 12:29:37,15.87,"2,895", , , , , 
2021-08-28 12:29:42,15.78,"2,885", , , , , 
2021-08-28 12:29:47,15.70,"2,815", , , , , 
2021-08-28 12:29:52,15.57,"2,885", , , , , 
2021-08-28 12:29:57,15.44,"2,886", , , , , 
2021-08-28 12:30:02,15.40,"3,158", , , , , 
2021-08-28 12:30:07,15.31,"3,188", , , , , 
2021-08-28 12:30:12,15.27,"3,203", , , , , 
2021-08-28 12:30:17,15.14,"3,222", , , , , 
2021-08-28 12:30:22,15.10,"3,242", , , , , 
2021-08-28 12:30:27,14.97,"3,200", , , , , 
2021-08-28 12:30:32,14.88,"3,222", , , , , 
2021-08-28 12:30:37,14.84,"3,228", , , , , 
2021-08-28 12:30:42,14.75,"3,084", , , , , 
2021-08-28 12:30:47,14.71,"3,035", , , , , 
2021-08-28 12:30:52,14.67,"3,058", , , , , 
2021-08-28 12:30:57,14.54,"3,212", , , , , 
2021-08-28 12:31:02,14.54,"3,162", , , , , 
2021-08-28 12:31:07,14.50,"3,256", , , , , 
2021-08-28 12:31:12,14.45,"3,227", , , , , 
2021-08-28 12:31:17,14.37,"3,213", , , , , 
2021-08-28 12:31:22,14.33,"3,227", , , , , 
2021-08-28 12:31:27,14.28,"3,181", , , , , 
2021-08-28 12:31:32,14.20,"3,201", , , , , 
2021-08-28 12:31:37,14.15,"3,014", , , , , 
2021-08-28 12:31:42,14.15,"2,982", , , , , 
2021-08-28 12:31:47,14.15,"2,986", , , , , 
2021-08-28 12:31:52,14.03,"2,875", , , , , 
2021-08-28 12:31:57,14.03,"3,163", , , , , 
2021-08-28 12:32:02,13.98,"3,073", , , , , 
2021-08-28 12:32:07,13.94,"3,174", , , , , 
2021-08-28 12:32:12,13.90,"3,215", , , , , 
2021-08-28 12:32:17,13.90,"3,190", , , , , 
2021-08-28 12:32:22,13.85,"3,180", , , , , 
2021-08-28 12:32:27,13.81,"3,183", , , , , 
2021-08-28 12:32:32,13.77,"3,174", , , , , 
2021-08-28 12:32:37,13.77,"3,164", , , , , 
2021-08-28 12:32:42,13.68,"3,180", , , , , 
2021-08-28 12:32:47,13.68,"3,183", , , , , 
2021-08-28 12:32:52,13.68,"3,186", , , , , 
2021-08-28 12:32:57,13.60,"3,178", , , , , 
2021-08-28 12:33:02,13.60,"3,176", , , , , 
2021-08-28 12:33:07,13.51,"3,141", , , , , 
2021-08-28 12:33:12,13.51,"3,140", , , , , 
2021-08-28 12:33:17,13.51,"3,136", , , , , 
2021-08-28 12:33:22,13.51,"3,158", , , , , 
2021-08-28 12:33:27,13.51,"3,156", , , , , 
2021-08-28 12:33:32,13.43,"3,168", , , , , 
2021-08-28 12:33:37,13.43,"3,164", , , , , 
2021-08-28 12:33:42,13.43,"3,148", , , , , 
2021-08-28 12:33:47,13.38,"3,146", , , , , 
2021-08-28 12:33:52,13.34,"2,970", , , , , 
2021-08-28 12:33:57,13.34,"3,089", , , , , 
2021-08-28 12:34:02,13.30,"2,289", , , , , 
2021-08-28 12:34:07,13.30,"2,900", , , , , 
2021-08-28 12:34:12,13.30,"3,130", , , , , 
2021-08-28 12:34:17,13.34,"3,140", , , , , 
2021-08-28 12:34:22,13.30,"3,131", , , , , 
2021-08-28 12:34:27,13.25,"3,126", , , , , 
2021-08-28 12:34:32,13.25,"3,057", , , , , 
2021-08-28 12:34:37,13.25,"3,137", , , , , 
2021-08-28 12:34:42,13.25,"3,117", , , , , 
2021-08-28 12:34:47,13.25,"3,126", , , , , 
2021-08-28 12:34:52,13.17,"3,072", , , , , 
2021-08-28 12:34:57,13.17,"2,995", , , , , 
2021-08-28 12:35:02,13.17,"2,450", , , , , 
2021-08-28 12:35:07,13.17,"2,520", , , , , 
2021-08-28 12:35:12,13.17,"2,524", , , , , 
2021-08-28 12:35:17,13.17,"2,353", , , , , 
2021-08-28 12:35:22,13.12,"2,322", , , , , 
2021-08-28 12:35:27,13.08,"2,314", , , , , 
2021-08-28 12:35:32,13.08,"2,289", , , , , 
2021-08-28 12:35:37,13.08,"2,287", , , , , 
2021-08-28 12:35:42,13.04,"2,371", , , , , 
2021-08-28 12:35:47,13.04,"2,383", , , , , 
2021-08-28 12:35:52,13.04,"2,342", , , , , 
2021-08-28 12:35:57,13.00,"2,327", , , , , 
2021-08-28 12:36:02,13.00,"2,576", , , , , 
2021-08-28 12:36:07,13.04,"2,900", , , , , 
2021-08-28 12:36:12,13.00,"2,863", , , , , 
2021-08-28 12:36:17,13.00,"2,600", , , , , 
2021-08-28 12:36:22,13.00,"2,789", , , , , 
2021-08-28 12:36:27,12.95,"2,875", , , , , 
2021-08-28 12:36:32,13.00,"2,865", , , , , 
2021-08-28 12:36:37,13.00,"2,766", , , , , 
2021-08-28 12:36:42,12.95,"2,772", , , , , 
2021-08-28 12:36:47,12.95,"2,793", , , , , 
2021-08-28 12:36:52,12.95,"2,922", , , , , 
2021-08-28 12:36:57,13.00,"2,581", , , , , 
2021-08-28 12:37:02,13.00,"2,752", , , , , 
2021-08-28 12:37:07,12.91,"3,008", , , , , 
2021-08-28 12:37:12,12.95,"3,137", , , , , 
2021-08-28 12:37:17,12.95,"3,116", , , , , 
2021-08-28 12:37:22,13.00,"3,090", , , , , 
2021-08-28 12:37:27,12.95,"2,862", , , , , 
2021-08-28 12:37:32,12.95,"2,959", , , , , 
2021-08-28 12:37:37,12.91,"2,825", , , , , 
2021-08-28 12:37:42,12.91,"2,322", , , , , 
2021-08-28 12:37:47,12.95,"2,287", , , , , 
2021-08-28 12:37:52,12.95,"2,246", , , , , 
2021-08-28 12:37:57,12.91,"2,245", , , , , 
2021-08-28 12:38:02,12.91,"2,294", , , , , 
2021-08-28 12:38:07,12.91,"2,267", , , , , 
2021-08-28 12:38:12,12.87,"3,109", , , , , 
2021-08-28 12:38:17,12.91,"3,137", , , , , 
2021-08-28 12:38:22,12.91,"3,105", , , , , 
2021-08-28 12:38:27,12.91,"3,119", , , , , 
2021-08-28 12:38:32,12.91,"3,122", , , , , 
2021-08-28 12:38:37,12.91,"3,127", , , , , 
2021-08-28 12:38:42,12.95,"3,131", , , , , 
2021-08-28 12:38:47,12.91,"3,146", , , , , 
2021-08-28 12:38:52,12.87,"3,140", , , , , 
2021-08-28 12:38:57,12.91,"3,124", , , , , 
2021-08-28 12:39:02,12.91,"3,095", , , , , 
2021-08-28 12:39:07,12.87,"3,040", , , , , 
2021-08-28 12:39:12,12.91,"3,071", , , , , 
2021-08-28 12:39:17,12.91,"2,671", , , , , 
2021-08-28 12:39:22,12.91,"2,767", , , , , 
2021-08-28 12:39:27,12.91,"2,468", , , , , 
2021-08-28 12:39:32,12.91,"3,122", , , , , 
2021-08-28 12:39:37,12.87,"3,028", , , , , 
2021-08-28 12:39:42,12.87,"3,044", , , , , 
2021-08-28 12:39:47,12.91,"3,174", , , , , 
2021-08-28 12:39:52,12.95,"3,154", , , , , 
2021-08-28 12:39:57,12.87,"3,119", , , , , 
2021-08-28 12:40:02,12.91,"3,171", , , , , 
2021-08-28 12:40:07,12.87,"3,180", , , , , 
2021-08-28 12:40:12,12.87,"3,186", , , , , 
2021-08-28 12:40:17,12.87,"3,181", , , , , 
2021-08-28 12:40:22,12.87,"3,181", , , , , 
2021-08-28 12:40:27,12.91,"3,201", , , , , 
2021-08-28 12:40:32,12.91,"3,195", , , , , 
2021-08-28 12:40:37,12.91,"3,197", , , , , 
2021-08-28 12:40:42,12.91,"3,197", , , , , 
2021-08-28 12:40:47,12.91,"3,205", , , , , 
2021-08-28 12:40:52,12.87,"3,203", , , , , 
2021-08-28 12:40:57,12.87,"3,201", , , , , 
2021-08-28 12:41:02,12.87,"3,205", , , , , 
2021-08-28 12:41:07,12.87,"3,197", , , , , 
2021-08-28 12:41:12,12.91,"3,208", , , , , 
2021-08-28 12:41:17,12.91,"3,201", , , , , 
2021-08-28 12:41:22,12.91,"3,206", , , , , 
2021-08-28 12:41:27,12.91,"3,186", , , , , 
2021-08-28 12:41:32,12.91,"3,169", , , , , 
2021-08-28 12:41:37,12.91,"3,144", , , , , 
2021-08-28 12:41:42,12.91,"3,153", , , , , 
2021-08-28 12:41:47,12.91,"3,191", , , , , 
2021-08-28 12:41:52,12.91,"3,168", , , , , 
2021-08-28 12:41:57,12.95,"3,163", , , , , 
2021-08-28 12:42:02,12.87,"3,167", , , , , 
2021-08-28 12:42:07,12.91,"3,173", , , , , 
2021-08-28 12:42:12,12.91,"3,190", , , , , 
2021-08-28 12:42:17,12.91,"3,188", , , , , 
2021-08-28 12:42:22,12.91,"2,995", , , , , 
2021-08-28 12:42:27,12.91,"3,164", , , , , 
2021-08-28 12:42:32,12.91,"3,053", , , , , 
2021-08-28 12:42:37,12.91,"3,053", , , , , 
2021-08-28 12:42:42,12.91,"3,100", , , , , 
2021-08-28 12:42:47,12.91,"3,130", , , , , 
2021-08-28 12:42:52,12.95,"2,993", , , , , 
2021-08-28 12:42:57,12.91,"3,135", , , , , 
2021-08-28 12:43:02,12.91,"2,880", , , , , 
2021-08-28 12:43:07,12.91,"3,136", , , , , 
2021-08-28 12:43:12,12.91,"3,174", , , , , 
2021-08-28 12:43:17,12.91,"3,178", , , , , 
2021-08-28 12:43:22,12.87,"3,151", , , , , 
2021-08-28 12:43:27,12.91,"3,181", , , , , 
2021-08-28 12:43:32,12.95,"3,178", , , , , 
2021-08-28 12:43:37,12.91,"3,131", , , , , 
