Serial Number:20921469 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-18 10:17:40,16.04,"3,798", , , , , 
2021-08-18 10:17:45,16.13,"3,922", , , , , 
2021-08-18 10:17:50,16.17,"3,288", , , , , 
2021-08-18 10:17:55,16.08,"3,236", , , , , 
2021-08-18 10:18:00,15.91,"3,226", , , , , 
2021-08-18 10:18:05,15.74,"3,200", , , , , 
2021-08-18 10:18:10,15.57,"3,255", , , , , 
2021-08-18 10:18:15,15.40,"3,301", , , , , 
2021-08-18 10:18:20,15.27,"3,332", , , , , 
2021-08-18 10:18:25,15.14,"3,368", , , , , 
2021-08-18 10:18:30,15.01,"3,292", , , , , 
2021-08-18 10:18:35,14.88,"3,343", , , , , 
2021-08-18 10:18:40,14.84,"3,283", , , , , 
2021-08-18 10:18:45,14.71,"3,313", , , , , 
2021-08-18 10:18:50,14.58,"3,297", , , , , 
2021-08-18 10:18:55,14.54,"3,252", , , , , 
2021-08-18 10:19:00,14.45,"3,224", , , , , 
2021-08-18 10:19:05,14.37,"3,244", , , , , 
2021-08-18 10:19:10,14.28,"3,173", , , , , 
2021-08-18 10:19:15,14.24,"3,254", , , , , 
2021-08-18 10:19:20,14.20,"3,210", , , , , 
2021-08-18 10:19:25,14.11,"3,206", , , , , 
2021-08-18 10:19:30,14.03,"3,176", , , , , 
2021-08-18 10:19:35,13.98,"3,135", , , , , 
2021-08-18 10:19:40,13.90,"3,200", , , , , 
2021-08-18 10:19:45,13.90,"3,148", , , , , 
2021-08-18 10:19:50,13.85,"3,236", , , , , 
2021-08-18 10:19:55,13.77,"3,328", , , , , 
2021-08-18 10:20:00,13.77,"3,306", , , , , 
2021-08-18 10:20:05,13.73,"3,309", , , , , 
2021-08-18 10:20:10,13.68,"3,236", , , , , 
2021-08-18 10:20:15,13.68,"3,259", , , , , 
2021-08-18 10:20:20,13.60,"3,345", , , , , 
