Serial Number:21116236 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-09-04 10:18:33,15.18,"1,140", , , , , 
2021-09-04 10:18:38,15.27,"1,319", , , , , 
2021-09-04 10:18:43,15.44,930, , , , , 
2021-09-04 10:18:48,15.40,887, , , , , 
2021-09-04 10:18:53,15.36,926, , , , , 
2021-09-04 10:18:58,15.14,930, , , , , 
2021-09-04 10:19:03,14.97,916, , , , , 
2021-09-04 10:19:08,14.84,921, , , , , 
2021-09-04 10:19:13,14.71,920, , , , , 
2021-09-04 10:19:18,14.67,927, , , , , 
2021-09-04 10:19:23,14.50,915, , , , , 
2021-09-04 10:19:28,14.45,910, , , , , 
2021-09-04 10:19:33,14.37,907, , , , , 
2021-09-04 10:19:38,14.33,922, , , , , 
2021-09-04 10:19:43,14.20,924, , , , , 
2021-09-04 10:19:48,14.15,910, , , , , 
2021-09-04 10:19:53,14.11,904, , , , , 
2021-09-04 10:19:58,14.03,905, , , , , 
2021-09-04 10:20:03,14.03,902, , , , , 
2021-09-04 10:20:08,13.98,910, , , , , 
2021-09-04 10:20:13,13.94,906, , , , , 
2021-09-04 10:20:18,13.94,898, , , , , 
2021-09-04 10:20:23,13.85,899, , , , , 
2021-09-04 10:20:28,13.85,908, , , , , 
2021-09-04 10:20:33,13.85,912, , , , , 
2021-09-04 10:20:38,13.77,918, , , , , 
2021-09-04 10:20:43,13.77,910, , , , , 
2021-09-04 10:20:48,13.73,911, , , , , 
2021-09-04 10:20:53,13.68,916, , , , , 
2021-09-04 10:20:58,13.64,915, , , , , 
2021-09-04 10:21:03,13.64,916, , , , , 
2021-09-04 10:21:08,13.60,926, , , , , 
2021-09-04 10:21:13,13.60,926, , , , , 
2021-09-04 10:21:18,13.60,933, , , , , 
2021-09-04 10:21:23,13.55,937, , , , , 
2021-09-04 10:21:28,13.60,942, , , , , 
2021-09-04 10:21:33,13.55,933, , , , , 
2021-09-04 10:21:38,13.51,933, , , , , 
2021-09-04 10:21:43,13.51,938, , , , , 
2021-09-04 10:21:48,13.47,940, , , , , 
2021-09-04 10:21:53,13.51,929, , , , , 
2021-09-04 10:21:58,13.47,939, , , , , 
2021-09-04 10:22:03,13.47,940, , , , , 
2021-09-04 10:22:08,13.43,940, , , , , 
2021-09-04 10:22:13,13.47,948, , , , , 
2021-09-04 10:22:18,13.43,948, , , , , 
2021-09-04 10:22:23,13.43,941, , , , , 
2021-09-04 10:22:28,13.43,947, , , , , 
2021-09-04 10:22:33,13.43,946, , , , , 
2021-09-04 10:22:38,13.38,948, , , , , 
2021-09-04 10:22:43,13.38,953, , , , , 
2021-09-04 10:22:48,13.38,949, , , , , 
2021-09-04 10:22:53,13.34,970, , , , , 
2021-09-04 10:22:58,13.34,978, , , , , 
2021-09-04 10:23:03,13.38,"1,021", , , , , 
2021-09-04 10:23:08,13.34,"1,005", , , , , 
2021-09-04 10:23:13,13.38,978, , , , , 
