Serial Number:20921469 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-17 16:18:21,14.97,"2,994", , , , , 
2021-08-17 16:18:26,15.01,"3,026", , , , , 
2021-08-17 16:18:31,15.18,"2,954", , , , , 
2021-08-17 16:18:36,15.10,"2,600", , , , , 
2021-08-17 16:18:41,14.93,"2,628", , , , , 
2021-08-17 16:18:46,14.75,"2,297", , , , , 
2021-08-17 16:18:51,14.63,"2,356", , , , , 
2021-08-17 16:18:56,14.50,"2,026", , , , , 
2021-08-17 16:19:01,14.37,"2,137", , , , , 
2021-08-17 16:19:06,14.24,"2,044", , , , , 
2021-08-17 16:19:11,14.15,"1,978", , , , , 
2021-08-17 16:19:16,14.11,"1,860", , , , , 
2021-08-17 16:19:21,13.98,"2,688", , , , , 
2021-08-17 16:19:26,13.90,"2,788", , , , , 
2021-08-17 16:19:31,13.85,"2,784", , , , , 
2021-08-17 16:19:36,13.77,"2,833", , , , , 
2021-08-17 16:19:41,13.73,"2,705", , , , , 
2021-08-17 16:19:46,13.68,"2,708", , , , , 
2021-08-17 16:19:51,13.64,"2,714", , , , , 
2021-08-17 16:19:56,13.55,"2,502", , , , , 
2021-08-17 16:20:01,13.51,"2,536", , , , , 
2021-08-17 16:20:06,13.47,"2,778", , , , , 
2021-08-17 16:20:11,13.47,"2,714", , , , , 
2021-08-17 16:20:16,13.47,"2,716", , , , , 
2021-08-17 16:20:21,13.38,"2,723", , , , , 
2021-08-17 16:20:26,13.38,"2,623", , , , , 
2021-08-17 16:20:31,13.30,"2,680", , , , , 
2021-08-17 16:20:36,13.30,"2,395", , , , , 
2021-08-17 16:20:41,13.34,"2,678", , , , , 
2021-08-17 16:20:46,13.25,"1,981", , , , , 
2021-08-17 16:20:51,13.21,"2,730", , , , , 
2021-08-17 16:20:56,13.17,"2,604", , , , , 
2021-08-17 16:21:01,13.21,"2,629", , , , , 
2021-08-17 16:21:06,13.12,"2,556", , , , , 
2021-08-17 16:21:11,13.17,"2,508", , , , , 
2021-08-17 16:21:16,13.12,"2,518", , , , , 
2021-08-17 16:21:21,13.08,"2,698", , , , , 
2021-08-17 16:21:26,13.12,"2,641", , , , , 
2021-08-17 16:21:31,13.08,"2,610", , , , , 
2021-08-17 16:21:36,13.04,"2,455", , , , , 
2021-08-17 16:21:41,13.04,"2,569", , , , , 
2021-08-17 16:21:46,13.04,"2,529", , , , , 
2021-08-17 16:21:51,12.95,"2,589", , , , , 
2021-08-17 16:21:56,13.00,"2,637", , , , , 
2021-08-17 16:22:01,13.00,"2,604", , , , , 
2021-08-17 16:22:06,12.95,"2,559", , , , , 
2021-08-17 16:22:11,12.95,"2,641", , , , , 
2021-08-17 16:22:16,12.91,"2,597", , , , , 
2021-08-17 16:22:21,12.91,"2,584", , , , , 
2021-08-17 16:22:26,12.91,"2,597", , , , , 
2021-08-17 16:22:31,12.87,"2,586", , , , , 
2021-08-17 16:22:36,12.87,"2,580", , , , , 
2021-08-17 16:22:41,12.87,"2,594", , , , , 
2021-08-17 16:22:46,12.91,"2,594", , , , , 
2021-08-17 16:22:51,12.87,"2,579", , , , , 
2021-08-17 16:22:56,12.82,"2,577", , , , , 
2021-08-17 16:23:01,12.87,"2,598", , , , , 
2021-08-17 16:23:06,12.87,"2,620", , , , , 
2021-08-17 16:23:11,12.82,"2,628", , , , , 
2021-08-17 16:23:16,12.82,"2,616", , , , , 
2021-08-17 16:23:21,12.82,"2,613", , , , , 
2021-08-17 16:23:26,12.82,"2,610", , , , , 
2021-08-17 16:23:31,12.82,"2,630", , , , , 
2021-08-17 16:23:36,12.78,"2,639", , , , , 
