trial,mean_temp_C,sd_temp_C,mean_lux,sd_lux,max_lux
001,13.925901639344263,0.1644678227816949,2776.19262295082,992.7701545718958,4947
002,12.426639344262295,0.100509868344307,1133.74043715847,333.8314832527821,1572
003,12.546338797814208,0.07401508311309338,1026.535519125683,304.2943308317418,1608
004,12.750927419354838,0.02916191584920599,279.8360215053763,46.38831933172561,382
005,12.350122950819673,0.043945136396363285,816.1256830601093,393.03524839431503,1893
006,12.992923497267759,0.2235852121239285,4153.754098360656,752.2895720321922,4887
007,13.145555555555555,0.17123610885571733,2909.386111111111,180.26981269783582,3244
008,12.95752688172043,0.15432242148949604,2112.2943548387098,270.0668541335683,2616
009,12.540655737704919,0.09239839131008556,1692.9207650273224,169.1152295965484,1846
010,12.91594262295082,0.2541842712722292,3066.751366120219,862.4156896865668,4617
011,20.21460641399417,0.3605831524453322,3986.991253644315,576.4012921207118,5737
012,13.014959677419355,0.15478721899203274,1830.2836021505377,325.48460021902605,3199
013,12.596075268817204,0.10801612327274311,1328.6559139784947,311.8159504637822,1779
014,13.265416666666667,0.034386444076581806,3772.7083333333335,152.4251717106282,3896
015,13.695778688524591,0.05032665047131681,3074.531420765027,224.49381357979192,3287
016,13.532594086021506,0.1851691359317764,3779.1814516129034,369.8911165387134,4128
017,12.69864247311828,0.058338697543073,225.1021505376344,35.5153604771777,296
018,12.60252688172043,0.06370196274071648,608.0309139784946,76.22990911079258,777
019,13.306491935483871,0.08091788330135424,730.141129032258,59.99910476509801,852
020,12.54133064516129,0.061814016422102235,1223.616935483871,178.7165467255431,1445
021,12.619398907103825,0.05921205740068478,490.7950819672131,176.97734659263602,763
022,12.843454301075269,0.06550787656951473,1126.9489247311828,260.05653712646216,1562
023,13.333655913978495,0.12910321136346187,2048.5349462365593,214.58954871199347,2772
024,12.674704301075268,0.16758652150081654,2786.6747311827958,784.314425993982,4760
025,12.297540322580645,0.050480847884380314,648.1895161290323,106.19865256440417,1276
026,12.71744623655914,0.08082138765100234,1604.0779569892472,299.07736427721767,4294
027,11.950362903225807,0.04753976894557253,332.4274193548387,207.81352962795003,703
028,12.802405913978495,0.1655627599282881,3182.72311827957,316.2683345482249,3694
029,11.975396174863388,0.07623479740612879,1167.224043715847,154.1682740141128,1432
030,12.774663978494624,0.16776865117112544,2869.717741935484,180.63843978996542,3228
031,11.954099462365592,0.07572881986751265,957.0389784946236,231.41801122953152,1284
032,12.911309041835358,0.15287439743497827,3278.1983805668015,187.3998609638379,5190
033,11.974262295081967,0.0439795630834049,217.7568306010929,67.00036461757367,417
034,12.16801912568306,0.04736890949975754,773.8196721311475,187.5983725407012,1214
035,11.877295081967214,0.052840573556784856,526.603825136612,149.61106489074362,776
036,12.220564516129032,0.06166556463437856,1358.7956989247311,188.47732618233047,1740
037,11.974247311827957,0.0965667608077366,1585.782258064516,324.49412067872015,1863
038,12.715672043010752,0.14483881596108908,3191.2836021505377,136.85114448516453,3511
039,13.31508064516129,0.17750777725001252,3352.1061827956987,287.0206369673914,4308
040,13.699704301075268,0.10391356115269773,2442.141129032258,804.7660103001305,3515
041,12.182782258064517,0.09487358399035122,1432.595430107527,192.4626101125505,1788
042,13.136693989071038,0.18160403798441876,3375.445355191257,196.91008737283113,3732
043,13.28853494623656,0.1927093191421998,3108.8279569892475,459.75874060999377,3392
044,13.563032786885246,0.22569081429422805,3064.2841530054643,475.9406308838259,3564
045,11.876881720430108,0.055576818557436125,533.4583333333334,153.46291088711067,822
046,12.3301912568306,0.14000280055848338,2699.834699453552,720.9322519485697,3837
047,12.850860215053764,0.08908726242397744,2571.7271505376343,634.343426110607,4954
048,13.02532786885246,0.03286213192628618,1523.3565573770493,364.03953412458156,3301
049,13.359153225806452,0.09031399191865408,1402.8844086021506,244.45484176503538,2097
