Serial Number:20921469 --

"Date Time, GMT -0700","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2021-08-21 09:49:45,13.21,705, , , , , 
2021-08-21 09:49:50,13.34,634, , , , , 
2021-08-21 09:49:55,13.34,762, , , , , 
2021-08-21 09:50:00,13.34,768, , , , , 
2021-08-21 09:50:05,13.25,763, , , , , 
2021-08-21 09:50:10,13.25,766, , , , , 
2021-08-21 09:50:15,13.21,748, , , , , 
2021-08-21 09:50:20,13.21,720, , , , , 
2021-08-21 09:50:25,13.12,723, , , , , 
2021-08-21 09:50:30,13.08,687, , , , , 
2021-08-21 09:50:35,13.04,740, , , , , 
2021-08-21 09:50:40,13.04,713, , , , , 
2021-08-21 09:50:45,13.00,742, , , , , 
2021-08-21 09:50:50,13.00,739, , , , , 
2021-08-21 09:50:55,13.00,737, , , , , 
2021-08-21 09:51:00,13.00,737, , , , , 
2021-08-21 09:51:05,12.95,734, , , , , 
2021-08-21 09:51:10,12.95,737, , , , , 
2021-08-21 09:51:15,12.91,736, , , , , 
2021-08-21 09:51:20,12.87,734, , , , , 
2021-08-21 09:51:25,12.87,733, , , , , 
2021-08-21 09:51:30,12.91,731, , , , , 
2021-08-21 09:51:35,12.82,729, , , , , 
2021-08-21 09:51:40,12.87,731, , , , , 
2021-08-21 09:51:45,12.87,720, , , , , 
2021-08-21 09:51:50,12.87,723, , , , , 
2021-08-21 09:51:55,12.82,722, , , , , 
2021-08-21 09:52:00,12.87,720, , , , , 
2021-08-21 09:52:05,12.82,715, , , , , 
2021-08-21 09:52:10,12.82,714, , , , , 
2021-08-21 09:52:15,12.82,719, , , , , 
2021-08-21 09:52:20,12.82,719, , , , , 
2021-08-21 09:52:25,12.78,718, , , , , 
2021-08-21 09:52:30,12.78,718, , , , , 
2021-08-21 09:52:35,12.78,714, , , , , 
2021-08-21 09:52:40,12.78,703, , , , , 
2021-08-21 09:52:45,12.78,707, , , , , 
2021-08-21 09:52:50,12.78,708, , , , , 
2021-08-21 09:52:55,12.82,707, , , , , 
2021-08-21 09:53:00,12.82,702, , , , , 
2021-08-21 09:53:05,12.78,708, , , , , 
2021-08-21 09:53:10,12.74,698, , , , , 
2021-08-21 09:53:15,12.78,699, , , , , 
2021-08-21 09:53:20,12.78,701, , , , , 
2021-08-21 09:53:25,12.74,699, , , , , 
2021-08-21 09:53:30,12.74,699, , , , , 
2021-08-21 09:53:35,12.78,704, , , , , 
2021-08-21 09:53:40,12.78,670, , , , , 
2021-08-21 09:53:45,12.70,694, , , , , 
2021-08-21 09:53:50,12.74,682, , , , , 
2021-08-21 09:53:55,12.74,684, , , , , 
