date,time,trial,bin,tank,treatment,diameter,consumed,notes
2020-09-15,07:40,1,1,C,pycno,75,4.4,
2020-09-15,07:40,1,5,,pycno,68,2.8,
2020-09-15,07:40,1,7,,pycno,65,0,
2020-09-15,07:40,1,6,,pycno,78,1,
2020-09-15,07:40,1,18,,pycno,nd,0.199999999999999,
2020-09-15,11:40,1,10,A,empty,76,1.3,
2020-09-15,11:40,1,4,A,empty,76,1.4,
2020-09-15,11:40,1,3,A,empty,68,0.100000000000001,
2020-09-15,11:40,1,2,A,empty,65,0,"visual measurement error gave negative number, changed to 0"
2020-09-15,11:40,1,17,A,empty,72,1.3,
2020-09-15,11:40,1,14,B,bucket,69,3.1,
2020-09-15,11:40,1,13,B,bucket,66,3,
2020-09-15,11:40,1,16,B,bucket,71,0,
2020-09-15,11:40,1,15,B,bucket,74,0,"visual measurement error gave negative number, changed to 0"
2020-09-15,11:40,1,12,B,bucket,75,3.1,
2020-09-15,11:40,1,1,C,pycno,75,1.4,
2020-09-15,11:40,1,5,,pycno,68,1.4,
2020-09-15,11:40,1,7,,pycno,65,0,
2020-09-15,11:40,1,6,,pycno,78,0,
2020-09-15,11:40,1,18,,pycno,nd,0.199999999999999,
