Urchin_Movement
t,x,y
5.833333333333336,2.8421709430404007E-14,-4.107142857142819
6.666666666666664,-0.003028043135373082,-4.184456255855366
7.5,0.008146440248054887,-4.132948597100764
8.333333333333336,0.005683984438377365,-4.172117823725259
9.166666666666664,0.013378603342516726,-4.184720946976782
10.0,0.018603792408242725,-4.204635229468167
10.833333333333336,-0.039545000171216316,-4.074015312257359
11.666666666666664,-0.09713513448721756,-3.9115349936008244
12.5,0.008051331009511387,-3.601304656061444
13.333333333333336,-0.12237074724572494,-3.489143129483452
14.166666666666664,-0.19218050324224123,-3.5346258273645503
15.0,-2.2945176509805663,-2.029017678217116
15.833333333333336,-2.476640375155654,-1.9740857214171683
16.666666666666664,-0.30355805900498467,-3.0829082971073944
17.5,0.8581166784811103,-2.9646157963739768
18.333333333333336,-0.49958487620847336,-2.7642908965049173
19.166666666666664,-0.512210301280561,-2.735746083928646
20.0,-1.4285714285714164,-2.678571428571388
20.833333333333336,-1.4682371205016693,-2.4307637274270917
21.666666666666664,-1.5263262587110091,-2.363219588697305
22.5,-1.5314407420424914,-2.2632946070571194
23.33333333333333,-1.5259203533977939,-2.2018421484253707
24.16666666666667,-1.5164804322926955,-2.06496324553504
25.0,-1.3299101096980905,-1.9376233216515857
25.83333333333333,-1.1331632779955498,-1.8491237626727326
26.66666666666667,-1.1183509130849814,-1.7708459017426463
27.5,-1.1267498013381783,-1.7522423903142794
28.33333333333333,-1.1282545085602464,-1.6411365567922473
29.16666666666667,-1.1152672715690812,-1.6344592615534168
30.0,-1.0035268194422997,-1.4392761676233334
30.83333333333333,-1.0300873846053094,-1.4341331241622726
31.66666666666667,-1.0456360522083799,-1.2524358866602796
32.5,-1.026978497995941,-1.2241994946618178
33.33333333333333,-2.285290534119298,-0.44369991233391204
34.16666666666667,-0.8098353186950362,-1.0366772477921131
35.0,-2.2766658919078395,-0.1849339453477512
35.83333333333333,-2.3084466304094633,-0.05921452542494876
36.66666666666667,-2.1016697915855502,0.034634276700060695
37.5,-2.242185658426081,0.30595087428915235
38.33333333333333,-2.093680771388449,0.4263854026236089
39.16666666666667,-2.1974872140119146,0.630968651188752
40.0,-2.380030395171758,0.9275112240914041
40.83333333333333,-2.3729963664698346,1.0528328000466303
41.66666666666667,-2.247599826050646,1.059449381606612
42.5,-2.399636601837585,1.117555510932604
