mass_A
t,x,y,v,a,L
0.000000000E0,9.090909091E-1,-1.818181818E0,�,�,0.000000000E0
3.333333333E0,-1.064662410E0,-5.036749990E-1,2.011229682E-2,�,2.371419478E0
6.666666667E0,9.123308069E-1,-1.684138989E0,4.429794369E-1,4.444828090E-2,4.674026134E0
1.000000000E1,1.694100753E0,-1.557522179E0,1.618125075E-1,9.423742705E-2,5.465983245E0
1.333333333E1,1.961319529E0,-1.432495727E0,1.580004124E-1,7.423416501E-2,5.761004410E0
1.666666667E1,6.489944971E-1,-1.688936859E0,3.940856748E-1,2.671699215E-2,7.098150267E0
2.000000000E1,-6.658992103E-1,-1.422479574E0,2.923050255E-1,9.306691408E-2,8.439770536E0
2.333333333E1,-1.066005701E0,-7.636224939E-1,2.165108339E-1,6.954610078E-2,9.210599866E0
2.666666667E1,7.775036183E-1,-1.425287315E0,3.082944002E-1,2.799064760E-2,1.116925424E1
3.000000000E1,7.733756066E-1,-1.680638338E0,2.308565827E-1,9.860450312E-2,1.142463862E1
3.333333333E1,1.757479581E0,-2.385678070E-1,3.252702109E-1,3.555025920E-2,1.317049889E1
3.666666667E1,-1.445151592E-1,2.839813002E-1,2.457516375E-1,9.062192586E-2,1.514296981E1
4.000000000E1,1.191357020E-1,-2.396704160E-1,3.348203758E-1,2.394634930E-2,1.572924867E1
4.333333333E1,9.056147967E-1,-1.685703314E0,1.005639129E-1,5.064720509E-2,1.737532294E1
4.666666667E1,-5.386839162E-1,-1.102699272E-1,2.821113421E-1,7.036628544E-3,1.951260840E1
5.000000000E1,-9.321025301E-1,-1.285720122E0,1.777186330E-1,8.393814023E-2,2.075214919E1
5.333333333E1,-4.061765915E-1,-1.287627670E0,2.441287027E-1,5.076911022E-2,2.127807858E1
5.666666667E1,6.462049752E-1,-1.682937969E0,3.219925440E-1,6.941252703E-2,2.240225704E1
6.000000000E1,1.703853324E0,-1.682264373E0,1.684636251E-1,8.524710563E-2,2.345990560E1
6.333333333E1,-4.073507416E-1,-1.293896360E0,4.189779337E-1,3.426739175E-2,2.560653373E1
6.666666667E1,-2.750570784E-1,2.889796260E-1,1.628800946E-1,6.347159235E-2,2.719492852E1
7.000000000E1,-1.460192153E0,-1.028128133E0,3.486268609E-1,5.380260017E-2,2.896674058E1
7.333333333E1,-1.851844918E0,-1.418518096E0,1.820993017E-1,1.425799236E-1,2.951972902E1
7.666666667E1,-2.756483455E-1,-1.293911250E0,6.135126023E-1,6.207704469E-2,3.110084334E1
8.000000000E1,1.177301450E0,1.329764920E0,1.815335075E-1,9.962029407E-2,3.409996650E1
8.333333333E1,-1.456858496E0,-1.030504306E0,5.129217950E-1,4.226696005E-2,3.763686761E1
8.666666667E1,9.076827182E-1,-2.079067704E0,3.252568133E-1,1.150561578E-1,4.022347550E1
9.000000000E1,6.471496212E-1,-1.554924242E0,3.399561674E-1,1.711526032E-2,4.080879922E1
9.333333333E1,-4.098059802E-1,-2.349753328E-1,1.578454917E-1,3.393295519E-3,4.249978126E1
9.666666667E1,1.699452884E0,-1.555105549E0,9.858600797E-2,1.754424631E-3,4.498809731E1
1.000000000E2,-1.222782066E-2,2.883755003E-1,2.649820869E-1,5.445883345E-2,4.750370324E1
1.033333333E2,9.094965448E-1,2.497614337E-2,4.003177773E-1,8.886554225E-2,4.846232466E1
1.066666667E2,9.231476526E-1,-2.211121863E0,3.647436199E-1,5.060097727E-2,5.069846434E1
1.100000000E2,1.436623192E0,-2.348825327E0,2.188033830E-2,1.256681437E-1,5.123008392E1
1.133333333E2,7.772824968E-1,-2.212170060E0,4.002712124E-1,6.624849097E-2,5.190343733E1
1.166666667E2,1.039767246E0,2.899741810E-1,2.962431636E-1,5.739087172E-2,5.441931174E1
1.200000000E2,-1.197671509E0,-2.210884766E0,4.624016802E-1,7.674367490E-2,5.777496780E1
1.233333333E2,-1.326899834E0,-1.685320676E0,2.828271936E-1,1.128741567E-1,5.831618640E1
1.266666667E2,6.467042948E-1,-1.819166383E0,3.754849631E-1,3.264084517E-2,6.029432389E1
1.300000000E2,1.172760930E0,-1.819006708E0,1.586866034E-1,1.049313385E-1,6.082038055E1
1.333333333E2,6.482604508E-1,-7.612568383E-1,3.178571657E-1,3.399369535E-2,6.200103103E1
1.366666667E2,-6.714773367E-1,-2.862629568E0,2.445375240E-1,5.203580617E-2,6.448245706E1
1.400000000E2,1.041547303E0,-2.343357036E0,3.248185646E-1,8.877775618E-2,6.627245633E1
1.433333333E2,-1.419984869E-1,-7.629018274E-1,3.352294764E-1,9.473447790E-2,6.824694849E1
1.466666667E2,1.044523041E0,-1.084958409E-1,2.888255773E-1,2.714200469E-2,6.960196899E1
1.500000000E2,3.869219911E-1,-2.614335920E0,1.962922833E-2,8.549612116E-2,7.219265879E1
1.533333333E2,1.041761825E0,2.233654680E-2,3.189921593E-1,4.283033946E-2,7.490943204E1
1.566666667E2,-1.722354151E0,-2.343332335E0,2.772947502E-1,1.715193087E-2,7.854766326E1
1.600000000E2,9.097699465E-1,-1.821577005E0,1.859433901E-1,7.268604098E-2,8.123100183E1
1.633333333E2,-1.065340909E0,-1.292143583E0,1.005253304E-1,3.162037033E-2,8.327583987E1
1.666666667E2,1.041400783E0,-2.478691634E0,3.454060184E-1,3.155200000E-2,8.569374327E1
1.700000000E2,9.080169144E-1,-1.054180636E-1,2.575962532E-1,4.650266950E-2,8.807076214E1
1.733333333E2,-6.708279605E-1,-2.346704075E0,4.408645627E-2,8.346527036E-2,9.081231537E1
1.766666667E2,6.449370284E-1,-2.364596230E-1,2.128224785E-1,4.547869762E-2,9.329915456E1
1.800000000E2,6.468119860E-1,-2.872883986E0,2.916943782E-1,5.051913551E-2,9.593557959E1
