mass_A
t,x,y,v,a,L
2.066666667E2,-1.068343162E1,-2.762737147E1,1.617279937E-1,1.114120797E-2,4.497428156E1
2.100000000E2,-1.067772887E1,-2.799409007E1,9.433665684E-2,5.264740391E-3,4.534104450E1
2.133333333E2,-1.081043925E1,-2.824332452E1,1.823547169E-1,6.697614070E-3,4.562340926E1
2.166666667E2,-1.068199335E1,-2.920978070E1,1.819772416E-1,5.411374496E-3,4.659836357E1
2.200000000E2,-1.092239450E1,-2.945132934E1,1.227425912E-1,1.061947230E-2,4.693915450E1
2.233333333E2,-1.104398719E1,-2.994363973E1,1.500099136E-1,8.722095718E-3,4.744625833E1
2.266666667E2,-1.116943920E1,-3.042040163E1,1.464524494E-1,1.206672916E-1,4.793924932E1
2.300000000E2,-1.117030021E1,-3.091178418E1,6.877761232E-1,6.836583003E-2,4.843063263E1
2.333333333E2,-1.567379166E1,-2.956329550E1,1.420929258E-1,1.212803826E-1,5.313168113E1
2.366666667E2,-1.104281069E1,-3.185045213E1,7.767883142E-1,5.570943253E-2,5.829666615E1
2.400000000E2,-1.117674582E1,-3.213124415E1,1.195014796E-1,1.330411407E-1,5.860776545E1
2.433333333E2,-1.129286113E1,-3.260687019E1,9.399717914E-2,6.865244110E-3,5.909736007E1
2.466666667E2,-1.140697516E1,-3.271406658E1,5.376456289E-2,8.605844984E-3,5.925392661E1
2.500000000E2,-1.141698605E1,-3.294312213E1,7.352502129E-2,7.107871071E-3,5.948320081E1
2.533333333E2,-1.129488050E1,-3.319124400E1,2.790127579E-2,1.372000435E-2,5.975974055E1
2.566666667E2,-1.129250796E1,-3.308134069E1,3.924578379E-2,1.101668700E-1,5.986966947E1
2.600000000E2,-1.117126231E1,-3.296065068E1,6.101414309E-1,4.575480287E-2,6.004074426E1
2.633333333E2,-1.370879460E1,-2.980918448E1,5.849433394E-1,6.398356535E-2,6.408682994E1
2.666666667E2,-1.347068388E1,-2.981109290E1,7.743526491E-2,1.218020506E-1,6.432494831E1
2.700000000E2,-1.334673024E1,-3.017716285E1,1.421492947E-1,8.202916881E-3,6.471143468E1
2.733333333E2,-1.286270339E1,-3.053801994E1,8.070334287E-2,1.822965849E-2,6.531517290E1
2.766666667E2,-1.310254812E1,-3.065658236E1,6.493527981E-2,1.426338848E-2,6.558272203E1
2.800000000E2,-1.322348558E1,-3.077726927E1,2.589384516E-2,6.380648502E-3,6.575357635E1
