mass_A
t,x,y,v,a,L
0.0,-3.333333333333343,-3.333333333333357,NaN,NaN,0.0
3.3333333333333286,-3.7055155211371016,-3.2987719064038856,0.0950184897199449,NaN,0.3737834575657322
6.666666666666671,-3.8781077548909195,-3.010087155730588,0.1986247160221546,0.036269462969985025,0.7101269790187796
10.0,-2.493902729609985,-3.8330066775821905,0.25805123221043774,0.041289838519381096,2.320474795938299
13.333333333333329,-2.343731764017079,-3.7880751766180367,0.15190689357431802,0.06557760568917427,2.4772235078500646
16.66666666666667,-3.4277540656833594,-3.44120501784073,0.21745292345852216,0.005251072967201442,3.6153901290264434
20.000000000000014,-3.66955375569556,-3.201742507895773,0.06182828361258295,0.026438105523509045,3.955697907014451
23.33333333333333,-3.7847916907972916,-3.2352352600637886,0.05264724072828507,0.006279838106768369,4.07570434906778
26.66666666666667,-3.9255723997039524,-2.9616538974477606,0.09043820982253244,0.015513303082782162,4.383382703800615
30.000000000000014,-4.0126281625007465,-2.6770195711826688,0.13072577754965214,0.030426700681963837,4.68103250730217
33.33333333333333,-4.125715773315719,-2.113441709871367,0.231606567941632,0.0052125784395244705,5.255844488283829
36.66666666666667,-3.2680098271556943,-1.3243870458417035,0.17734699272410806,0.021687868714396905,6.42129150677297
40.000000000000014,-3.693360328139889,-1.0130174859894368,0.12583024571022283,0.03241598267509013,6.948429108818299
43.33333333333333,-3.842377934912946,-0.7129941202365586,0.14215338746843753,0.003993069467918545,7.283422044752857
46.66666666666667,-4.322813234872953,-0.30456568637846715,0.17124741894505674,0.010470063626221692,7.9140026209137755
50.000000000000014,-4.727498349274001,0.008064366131407041,0.0792662528149267,0.015146382120200062,8.425380750628095
53.33333333333333,-4.77140335634094,-0.025249525327140532,0.07622296145027542,0.010904194310502522,8.480493952400991
56.66666666666667,-4.84567082985609,0.5022857879880149,0.1311879183836586,0.0025622567771448157,9.01323137779632
60.000000000000014,-4.934902100479334,0.8339181221292336,0.07725029619798097,0.016375368280504652,9.356658553053304
63.33333333333333,-5.010241290415976,0.9902853754958443,0.024499564712198336,0.010434696968603127,9.530229032875557
66.66666666666667,-5.0213329573305145,0.9725057724090078,0.002855672255624903,0.003429528878984415,9.5511846851171
70.00000000000001,-5.0243643491100585,1.0030516441177042,0.007982465901424403,4.194532220059349E-4,9.581880606907546
73.33333333333333,-5.028306294343352,1.0252633499428043,1.087606586411929E-4,0.0010434150485096763,9.604439392510567
76.66666666666667,-5.0250893059196216,1.0030387731093384,0.0018833325540128943,0.006018953771154409,9.626895590540178
80.00000000000001,-5.036165776834778,1.0154720078585058,0.03790404394315774,0.002359817796245917,9.643547123030078
83.33333333333333,-5.172693632118353,1.2081412637179483,0.00232459735203317,6.655936220422941E-4,9.879685424501407
86.66666666666667,-5.048436244906554,1.024937862631944,0.0016840552783456385,0.004537742544342019,10.101052505265875
90.00000000000001,-5.181276520535164,1.2009038369957779,0.06166917387165985,0.010550107285578779,10.321530538101117
93.33333333333333,-5.272980986425992,1.369329715340612,0.059215251505954344,0.001148580301199591,10.51330380412261
96.66666666666667,-5.375732688708609,1.5444570986434911,0.0632905002640505,0.0017263823289476725,10.716349396796987
100.00000000000001,-5.541679330006886,1.6946476403311692,0.059654798864976405,0.005650748745150958,10.940169607168206
103.33333333333333,-5.651787864576647,1.8307397619786627,0.02738637994013477,0.060991126326720824,11.11522661205409
106.66666666666667,-5.670997617703023,1.8235302513021168,0.3485985317914717,0.013096864013798079,11.135744693333088
110.00000000000001,-7.083333333333343,-1.4210854715202004E-14,0.24350131726410984,0.040549825520101265,13.44224740329443
113.33333333333333,-6.96475608954978,0.8430055758539226,0.15362099362525475,0.019183642992569548,14.293551675375884
116.66666666666667,-7.2742816118110625,1.0061815976740718,0.18879453288166748,0.0300892908072098,14.643455180685804
120.00000000000001,-7.92430840297537,0.02850610592712144,0.16091133920930634,0.059783465734899316,15.81750126001745
123.33333333333333,-8.154715445833986,0.39330948761245565,0.30822621552851953,0.09638029389109393,16.248974217093448
126.66666666666667,-7.916666666666686,2.0833333333333286,0.5392673461361783,NaN,17.955680934830333
130.00000000000003,-7.340846245292724,3.8950909479424354,NaN,NaN,19.85674243088073
133.33333333333331,NaN,3.7296384053449003,NaN,NaN,NaN
136.66666666666669,-8.463413636273444,4.112806461420902,NaN,NaN,NaN
140.0,-8.488015743382292,4.12921984042184,0.011676422890668132,NaN,NaN
143.33333333333331,-8.486018171927029,4.038317942305795,1.4620107744005875,0.11609526669513133,NaN
146.66666666666669,-17.500000000000014,0.4166666666666572,1.398114250991878,0.13425347540314084,NaN
150.0,-17.500000000000014,1.6666666666666572,0.20400067279982004,0.24342177559921932,NaN
153.33333333333331,-17.498757752698154,1.7766705846555482,0.007419309154560735,0.0344749950702597,NaN
156.66666666666669,-17.499592498389745,1.617206284300437,0.0173136640752245,0.0021096357522590865,NaN
160.0,-17.49878394070855,1.6612461604582194,0.02015100167059997,0.0013979695978904108,NaN
163.33333333333331,-17.498216597397516,1.7515392493121453,0.005692032267055632,4.2939647392574513E-4,NaN
166.66666666666669,-17.499647383447538,1.623309103330783,0.0012652011381034491,0.003779786950567246,NaN
170.0,-17.498904505911113,1.7599458248128172,0.03622282658146174,2.0304223961948803E-4,NaN
173.33333333333331,-17.49761460610162,1.86478605796313,1.466164609039119E-4,0.01133930917548209,NaN
176.66666666666669,-17.49980090660307,1.7603355179739424,0.04562217324360361,0.0010387097506660088,NaN
180.0,-17.50185898580534,1.560667852918499,0.0010283935842666635,0.00901107016646414,NaN
