mass_A
t,x,y,v,a,L
0.000000000E0,3.571428571E-1,-3.571428571E-1,�,�,0.000000000E0
3.333333333E0,4.879237266E-2,-2.029230418E0,6.024596252E-2,�,1.700281398E0
6.666666667E0,4.607485762E-1,-7.451896892E-1,2.388822539E-1,6.997595705E-2,3.048787427E0
1.000000000E1,-5.734511871E-1,-5.632757028E-1,3.361413392E-1,2.465984694E-2,4.098864495E0
1.333333333E1,-1.089745118E0,8.727693719E-1,1.766259234E-1,1.069312844E-1,5.624900169E0
1.666666667E1,-8.855433191E-1,5.721181708E-1,4.288237730E-1,9.621852659E-2,5.988341388E0
2.000000000E1,3.573292522E-1,-1.592764450E0,5.506080240E-1,3.349694637E-2,8.484628428E0
2.333333333E1,1.084225461E0,-2.525331981E0,1.440414334E-1,1.192579752E-1,9.667024428E0
2.666666667E1,1.079047542E0,-2.226209897E0,2.779747085E-1,2.745038073E-2,9.966191325E0
3.000000000E1,-5.855995833E-1,-1.721650568E0,1.560970660E-1,2.618215413E-2,1.170562519E1
3.333333333E1,3.846078883E-2,-2.237417486E0,2.263652475E-1,2.128390436E-2,1.251523427E1
3.666666667E1,-1.401823349E0,-4.523332106E-1,3.310377227E-1,1.656845663E-2,1.480890911E1
4.000000000E1,-1.401336193E0,-5.648528748E-1,4.755325131E-2,5.988401316E-2,1.492142983E1
4.333333333E1,-1.404289038E0,-7.693452972E-1,3.001770186E-2,5.626872084E-3,1.512594357E1
4.666666667E1,-1.398318904E0,-7.649481392E-1,1.017412732E-3,5.089518057E-3,1.513335825E1
5.000000000E1,-1.401664989E0,-7.630906922E-1,5.828222216E-4,2.614657436E-3,1.513718531E1
5.333333333E1,-1.400126357E0,-7.683876271E-1,1.495510991E-2,2.658657950E-3,1.514270119E1
5.666666667E1,-1.385768792E0,-8.615160295E-1,2.043842699E-2,1.959710315E-3,1.523692984E1
6.000000000E1,-1.305296672E0,-8.662297314E-1,1.802813861E-3,2.144011034E-3,1.531753990E1
6.333333333E1,-1.396035572E0,-8.677645327E-1,2.117320154E-3,2.308343688E-3,1.540829177E1
6.666666667E1,-1.299686781E0,-8.791825514E-1,2.157255962E-2,1.484108158E-2,1.550531476E1
7.000000000E1,-1.291052857E0,-9.660598911E-1,8.349319369E-2,9.395989208E-3,1.559262007E1
7.333333333E1,-7.808739765E-1,-1.080827130E0,1.756246080E-2,1.087935157E-2,1.611554837E1
7.666666667E1,-1.300670181E0,-1.082747306E0,6.471324259E-2,7.614903929E-2,1.663534813E1
8.000000000E1,-1.198510579E0,-1.189013451E0,4.943084040E-1,4.523799630E-2,1.678275599E1
8.333333333E1,1.099900392E0,-3.340368169E0,4.416938756E-1,4.345215620E-2,1.993093326E1
8.666666667E1,1.081259197E0,-3.052738509E0,1.315911011E-2,7.868138181E-2,2.021916635E1
9.000000000E1,1.079733562E0,-3.254990210E0,3.167703453E-2,7.445608636E-3,2.042142380E1
9.333333333E1,9.869035741E-1,-3.241667347E0,1.288697452E-2,7.788829595E-2,2.051520496E1
9.666666667E1,1.097537096E0,-3.339038445E0,4.277121828E-1,3.862863928E-2,2.066258511E1
1.000000000E2,-1.091283106E0,-1.289308499E0,4.505434709E-1,3.677715069E-2,2.366130595E1
1.033333333E2,-1.089277812E0,-1.280011363E0,1.571232243E-2,7.454014022E-2,2.367081689E1
1.066666667E2,-9.865831316E-1,-1.286110070E0,1.422381892E-2,8.744619492E-2,2.377369250E1
1.100000000E2,-1.086842900E0,-1.185217171E0,5.046695241E-1,4.158747244E-2,2.391592962E1
1.133333333E2,1.493358761E0,-3.559764135E0,4.800086846E-2,8.438856514E-2,2.742248262E1
1.166666667E2,-7.820305820E-1,-1.087784341E0,5.029715683E-1,4.647599205E-2,3.078225653E1
1.200000000E2,-7.847742475E-1,-1.099340744E0,3.399522755E-2,1.037697985E-1,3.079413417E1
1.233333333E2,-8.835732161E-1,-1.290398380E0,1.081480462E-1,6.959455437E-2,3.100922544E1
1.266666667E2,-3.633673235E-1,-1.684352216E0,4.601299651E-1,2.840587161E-2,3.166176953E1
1.300000000E2,1.288938016E0,-3.456028605E0,7.932252810E-2,1.777810211E-2,3.408436116E1
1.333333333E2,4.956273859E-2,-2.014709642E0,3.484050525E-2,4.095513542E-2,3.598526921E1
1.366666667E2,1.498433308E0,-3.556333599E0,4.659119499E-1,3.470640672E-2,3.810088504E1
1.400000000E2,3.045277337E0,-2.835334365E0,2.502472313E-1,6.390255483E-2,3.980750930E1
1.433333333E2,3.044601380E0,-2.929724618E0,1.720489069E-2,4.442495662E-2,3.990190197E1
1.466666667E2,3.045618175E0,-2.950033129E0,1.659110129E-2,2.832082399E-3,3.992223592E1
1.500000000E2,3.047173401E0,-3.040302051E0,2.180758211E-2,1.384649308E-3,4.001251824E1
1.533333333E2,3.146678402E0,-3.054547738E0,2.057857155E-2,1.663542834E-3,4.011303781E1
1.566666667E2,3.148934417E0,-3.132312499E0,2.742356103E-2,2.677342622E-3,4.019083529E1
1.600000000E2,3.154035028E0,-3.237223407E0,1.979231721E-2,2.699885280E-3,4.029587012E1
1.633333333E2,3.151386331E0,-3.264238498E0,2.062513964E-2,1.924389610E-3,4.032301475E1
1.666666667E2,3.251524303E0,-3.334189108E0,2.208648772E-2,1.566521912E-3,4.044516507E1
1.700000000E2,3.258597465E0,-3.365165936E0,1.663247547E-2,2.980924397E-3,4.047693917E1
1.733333333E2,3.251535797E0,-3.445072277E0,2.916927778E-2,3.614185381E-3,4.055715694E1
1.766666667E2,3.265547322E0,-3.559503558E0,3.832137948E-2,6.390500110E-3,4.067244285E1
1.800000000E2,3.355036750E0,-3.678643400E0,5.324754070E-2,2.310693983E-3,4.082144842E1
1.833333333E2,3.558731647E0,-3.759644286E0,4.474533880E-2,3.587871388E-3,4.104065780E1
1.866666667E2,3.455187918E0,-3.959630911E0,3.462036382E-2,1.965326827E-3,4.126585983E1
1.900000000E2,3.561783822E0,-3.990426529E0,3.636917577E-2,5.447457717E-2,4.137681503E1
1.933333333E2,3.665784541E0,-4.079782823E0,3.049488801E-1,2.412766856E-2,4.151393067E1
1.966666667E2,1.601509877E0,-3.451552978E0,1.596699571E-2,5.539878689E-2,4.367168474E1
2.000000000E2,3.664780712E0,-4.186224728E0,3.444397177E-1,2.935754155E-2,4.586185120E1
2.033333333E2,3.772927209E0,-4.198398832E0,2.215559903E-2,5.626251840E-2,4.597068076E1
2.066666667E2,3.770242720E0,-4.289637659E0,3.008662756E-2,3.606109783E-3,4.606195907E1
2.100000000E2,3.780863622E0,-4.398819275E0,2.884332188E-2,3.025267521E-4,4.617165606E1
2.133333333E2,3.767092593E0,-4.481900667E0,2.984241180E-2,2.421314568E-3,4.625587101E1
2.166666667E2,3.778748525E0,-4.597757443E0,3.683675668E-2,9.612990147E-4,4.637231264E1
2.200000000E2,3.869700602E0,-4.705015741E0,3.071948154E-2,3.889983110E-3,4.651294203E1
2.233333333E2,3.780302411E0,-4.802548092E0,2.097103344E-2,4.004934701E-3,4.664524696E1
2.266666667E2,3.779669777E0,-4.811975625E0,2.381881021E-3,4.967881248E-3,4.665469570E1
2.300000000E2,3.773314158E0,-4.816806897E0,2.020400583E-2,5.503193625E-3,4.666267912E1
2.333333333E2,3.879451343E0,-4.902451829E0,4.313337569E-2,2.847988133E-3,4.679906151E1
2.366666667E2,3.971941051E0,-5.024738899E0,3.600601328E-2,3.914223518E-3,4.695238625E1
2.400000000E2,3.976672986E0,-5.121922092E0,2.888239920E-2,2.455109495E-3,4.704968457E1
2.433333333E2,3.974495894E0,-5.217271276E0,2.720207916E-2,2.579322093E-3,4.714505861E1
2.466666667E2,3.982551744E0,-5.303173975E0,3.585203571E-2,6.147595799E-2,4.723133821E1
2.500000000E2,4.078687950E0,-5.432379395E0,3.349698334E-1,3.185752348E-2,4.739238544E1
2.533333333E2,2.118362245E0,-4.073671216E0,2.780773802E-2,6.251206679E-2,4.977754053E1
2.566666667E2,4.194345627E0,-5.577261659E0,4.008440529E-1,3.552875305E-2,5.234083747E1
2.600000000E2,4.294362214E0,-5.624857109E0,5.026377054E-2,6.200113700E-2,5.245160139E1
2.633333333E2,4.497005884E0,-5.721078506E0,4.917436616E-2,2.628768472E-3,5.267592930E1
2.666666667E2,4.599495152E0,-5.744714585E0,4.429661281E-2,5.214289872E-3,5.278110874E1
2.700000000E2,4.711902037E0,-5.923632409E0,3.395290216E-2,1.328847012E-1,5.299240686E1
2.733333333E2,4.706816898E0,-5.944007282E0,7.736534711E-1,6.446485364E-2,5.301340672E1
2.766666667E2,1.390851029E0,-9.869818459E0,7.726699626E-1,6.631363130E-2,5.815224152E1
2.800000000E2,1.493151072E0,-9.969740011E0,2.564868724E-2,1.302722668E-1,5.829524367E1
2.833333333E2,1.510495305E0,-9.991979232E0,2.762492708E-1,2.442259571E-2,5.832344660E1
2.866666667E2,-1.569118534E-1,-9.151809361E0,2.602083638E-1,8.029435814E-2,6.019056525E1
2.900000000E2,-5.689856626E-2,-9.248650000E0,3.424439015E-1,7.850958975E-2,6.032978007E1
2.933333333E2,1.823443623E0,-1.028763309E1,3.498479624E-1,2.693861457E-2,6.247807535E1
2.966666667E2,1.915378456E0,-1.049357520E1,6.257111034E-2,5.400764942E-2,6.270360621E1
3.000000000E2,1.909234556E0,-1.069585645E1,3.455706847E-2,8.025461491E-3,6.290598074E1
3.033333333E2,2.009913605E0,-1.070366628E1,3.014336698E-2,8.012934221E-3,6.300696224E1
3.066666667E2,2.110127025E0,-1.070090040E1,7.949109290E-2,1.200444219E-2,6.310721382E1
3.100000000E2,2.135512279E0,-1.121850803E1,1.106621711E-1,4.241496643E-3,6.362544357E1
3.133333333E2,2.222026927E0,-1.143011247E1,4.071796560E-2,4.939016542E-2,6.385405070E1
3.166666667E2,2.319802230E0,-1.141781684E1,2.120495053E-1,2.970749013E-2,6.395259609E1
3.200000000E2,1.079232540E0,-1.059796758E1,2.276721895E-1,1.741228375E-2,6.543959507E1
3.233333333E2,1.598012130E0,-1.008260892E1,1.118179661E-1,9.657630060E-2,6.617084524E1
3.266666667E2,1.490741035E0,-9.976388069E0,3.348940861E-1,4.121369577E-2,6.632180867E1
3.300000000E2,2.851046318E0,-1.193045353E1,3.748159061E-1,2.146616763E-2,6.870273334E1
3.333333333E2,3.041793639E0,-1.193549523E1,5.166868467E-2,9.969725810E-2,6.889354728E1
3.366666667E2,3.176771330E0,-1.204250022E1,2.138769490E-1,2.037512796E-2,6.906579433E1
3.400000000E2,1.809738166E0,-1.121780654E1,2.017692549E-1,2.047240284E-2,7.066232161E1
3.433333333E2,2.116676763E0,-1.121450878E1,4.458753308E-2,4.203586766E-2,7.096927792E1
3.466666667E2,2.020173376E0,-1.142774633E1,3.059068080E-2,4.925419904E-2,7.120333594E1
3.500000000E2,2.320571911E0,-1.121868303E1,3.386596181E-1,2.764166020E-2,7.156932329E1
3.533333333E2,3.974702045E0,-1.255786402E1,3.364187405E-1,2.731024736E-2,7.369759776E1
3.566666667E2,4.112140309E0,-1.256790386E1,3.573680101E-2,4.864134949E-2,7.383540224E1
3.600000000E2,4.212840241E0,-1.256500836E1,4.993484669E-2,6.200270925E-3,7.393614379E1
3.633333333E2,4.384838707E0,-1.275884184E1,7.629199923E-2,3.728746655E-3,7.419528640E1
