mass_A
t,x,y,v,a,L
0.000000000E0,-3.571428571E0,7.142857143E-1,�,�,0.000000000E0
3.333333333E0,-3.872867699E0,4.937415064E-1,2.110143225E-1,�,3.735040768E-1
6.666666667E0,-4.435306328E0,-3.959822566E-1,2.230838188E-1,4.022863453E-2,1.426094019E0
1.000000000E1,-4.712921576E0,-7.335111362E-1,8.789025104E-2,1.022335917E-2,1.863124876E0
1.333333333E1,-4.494068993E0,1.869986878E-1,6.659850463E-2,3.956117674E-2,2.809293354E0
1.666666667E1,-5.021642574E0,-1.052601237E0,3.276572820E-1,2.707972119E-2,4.156491134E0
2.000000000E1,-5.637793209E0,-1.674027673E0,1.806942399E-1,5.245949708E-2,5.031598225E0
2.333333333E1,-5.653791656E0,-2.078036169E0,1.646256836E-2,2.042824414E-2,5.435923360E0
2.666666667E1,-5.647088172E0,-1.564671529E0,6.468837224E-2,1.298105172E-2,5.949331764E0
3.000000000E1,-6.039845001E0,-1.885826928E0,1.216078876E-1,5.314541700E-2,6.456676536E0
3.333333333E1,-6.352557693E0,-1.964144255E0,2.983332813E-1,4.190120486E-2,6.779047178E0
3.666666667E1,-7.296120323E0,-3.427725092E0,2.956954585E-2,1.775050376E-2,8.520420000E0
4.000000000E1,-6.155652578E0,-1.973564100E0,8.098015157E-2,1.421995881E-2,1.036845974E1
4.333333333E1,-7.192832396E0,-2.897830090E0,2.759981907E-1,5.016549634E-2,1.175770759E1
4.666666667E1,-7.597741329E0,-3.116339514E0,1.543755596E-1,4.348209636E-2,1.221781368E1
5.000000000E1,-8.009003468E0,-3.524772262E0,4.729316690E-2,2.358400475E-2,1.279742894E1
5.333333333E1,-7.912413265E0,-3.096642908E0,5.527144623E-2,1.416661907E-2,1.323631892E1
5.666666667E1,-7.818621004E0,-3.209289605E0,2.224562737E-2,4.860321573E-3,1.338290086E1
6.000000000E1,-7.808240185E0,-2.991086762E0,4.731040663E-2,4.205374114E-3,1.360135050E1
6.333333333E1,-7.710538098E0,-2.912984094E0,3.266171867E-2,7.387630988E-3,1.372643337E1
6.666666667E1,-7.706383435E0,-2.798634179E0,4.429940184E-2,1.056678352E-2,1.384085873E1
7.000000000E1,-7.917238010E0,-2.702046737E0,6.957001434E-2,5.483970723E-3,1.407278283E1
7.333333333E1,-8.122400749E0,-2.593597298E0,2.960373862E-2,2.730399653E-3,1.430484539E1
7.666666667E1,-8.114561528E0,-2.698343900E0,5.533575464E-2,8.840982476E-2,1.440988492E1
8.000000000E1,-8.429375646E0,-2.389006647E0,5.551421345E-1,4.538979983E-2,1.485124358E1
8.333333333E1,-1.163753447E1,-3.832219768E0,5.463521373E-1,4.890409477E-2,1.836907632E1
8.666666667E1,-1.185478156E1,-3.627267606E0,2.254257901E-2,4.395067261E-2,1.866774283E1
9.000000000E1,-1.178771490E1,-3.837794509E0,2.867421742E-1,2.653736811E-2,1.888869422E1
9.333333333E1,-1.349139964E1,-4.615068824E0,3.131508381E-1,1.797688171E-2,2.076131192E1
9.666666667E1,-1.370624412E1,-4.660971931E0,6.519568597E-2,4.265791818E-2,2.098100545E1
1.000000000E2,-1.391317194E1,-4.720036635E0,6.521386066E-2,2.801628977E-3,2.119619782E1
1.033333333E2,-1.412764260E1,-4.767924138E0,7.956206807E-2,1.020642811E-2,2.141594968E1
1.066666667E2,-1.444020861E1,-4.779795529E0,1.232501874E-1,9.345691071E-3,2.172874105E1
