mass_A
t,x,y,v,a,L
0.000000000E0,3.846153846E-1,-2.307692308E0,�,�,0.000000000E0
3.333333333E0,3.842569371E-1,-2.196633150E0,1.271829012E-1,�,1.110597364E-1
6.666666667E0,5.097416190E-2,-1.528209006E0,9.683390178E-2,2.126656778E-2,8.579655160E-1
1.000000000E1,-1.664609540E-1,-1.859799849E0,1.516034535E-1,3.665657724E-2,1.254488550E0
1.333333333E1,-9.535520689E-1,-1.639657203E0,3.606307862E-1,3.435602975E-2,2.071786052E0
1.666666667E1,-2.400745697E0,-9.720079072E-1,1.169990822E-3,2.320750035E-2,3.665563006E0
2.000000000E1,-9.561912992E-1,-1.632317346E0,3.786849720E-2,5.822082981E-3,5.253878454E0
2.333333333E1,-2.286643591E0,-7.468078439E-1,2.500182370E-1,2.292246348E-2,6.852074431E0
2.666666667E1,-2.290015762E0,-6.327697672E-1,2.394514250E-2,3.638224403E-2,6.966162355E0
3.000000000E1,-2.399174234E0,-8.600331011E-1,3.676300808E-2,8.723908802E-3,7.218281761E0
3.333333333E1,-2.400078045E0,-4.137862186E-1,8.545252820E-2,4.535046708E-3,7.664529559E0
3.666666667E1,-2.511993065E0,-3.016325049E-1,4.534889317E-4,2.313542076E-2,7.822970170E0
4.000000000E1,-2.397683810E0,-4.156322247E-1,8.379333861E-2,7.665488878E-3,7.984409142E0
4.333333333E1,-2.065810600E0,-6.377575333E-1,5.996534935E-2,1.010560712E-2,8.383757962E0
4.666666667E1,-2.176368279E0,-7.485506618E-1,3.738411607E-2,1.496403634E-2,8.540276708E0
5.000000000E1,-1.843433252E0,-5.252291718E-1,1.501904423E-1,2.048152599E-2,8.941173478E0
5.333333333E1,-1.175099618E0,-7.499330875E-1,6.004168657E-2,3.054508835E-2,9.646270419E0
5.666666667E1,-2.177090696E0,-3.041067718E-1,1.513249172E-1,4.487362010E-3,1.074296875E1
6.000000000E1,-2.177034138E0,-6.321587331E-1,5.228662265E-2,4.001990722E-2,1.107102071E1
6.333333333E1,-2.066885672E0,-6.348046934E-1,8.552891315E-2,7.261379767E-3,1.118120095E1
6.666666667E1,-1.618137291E0,-7.450927468E-1,9.770143893E-2,2.751773479E-2,1.164330329E1
7.000000000E1,-1.509126816E0,-9.711864205E-1,1.000435563E-1,2.767461689E-3,1.189430455E1
7.333333333E1,-2.285089112E0,-7.424536335E-1,3.696535370E-2,1.037231473E-2,1.270327684E1
7.666666667E1,-1.286295245E0,-1.076432041E0,2.306141913E-2,4.404857136E-3,1.375642961E1
8.000000000E1,-2.176501189E0,-6.336165544E-1,9.700116660E-2,4.615117295E-3,1.475068923E1
8.333333333E1,-1.842948718E0,-7.473047903E-1,8.983517463E-2,4.994025355E-2,1.510308427E1
8.666666667E1,-1.624299662E0,-8.654701265E-1,1.869936848E-1,1.512152239E-2,1.535162090E1
9.000000000E1,-7.258411805E-1,-1.300607200E0,2.319774087E-1,1.352107508E-2,1.634990538E1
9.333333333E1,-2.830737513E-1,-1.635421406E0,7.453463756E-2,4.959010409E-2,1.690501218E1
9.666666667E1,-2.827667945E-1,-1.525534516E0,2.597189205E-1,2.736592828E-2,1.701489949E1
1.000000000E2,-7.291487870E-1,-3.308433348E0,2.966780295E-1,1.643837319E-2,1.885282907E1
1.033333333E2,-8.410969080E-1,-3.422946456E0,3.717859978E-2,4.840685410E-2,1.901297161E1
1.066666667E2,-8.384978454E-1,-3.530865451E0,9.743852712E-2,2.536310737E-2,1.912092190E1
1.100000000E2,-2.853206499E-1,-3.759220382E0,1.867831900E-1,1.980106539E-2,1.971937907E1
1.133333333E2,2.743936047E-1,-4.089478576E0,2.173216846E-1,7.296241661E-3,2.036926408E1
1.166666667E2,9.414409399E-1,-4.530005686E0,1.573162971E-1,1.980140117E-2,2.116864902E1
1.200000000E2,1.162897179E0,-4.646695821E0,6.074172626E-2,1.668874336E-2,2.141896772E1
1.233333333E2,1.276319744E0,-4.757682017E0,6.064968004E-2,3.436154783E-2,2.157765803E1
1.266666667E2,1.385720262E0,-4.984088163E0,1.584973899E-1,5.071948985E-2,2.182911024E1
1.300000000E2,2.737826665E-1,-5.091488968E0,2.872091154E-1,2.653749203E-2,2.294622266E1
1.333333333E2,2.498036420E0,-6.542591907E0,3.110912440E-1,1.905573388E-2,2.560197199E1
1.366666667E2,1.947983586E0,-6.315533556E0,1.674612629E-2,3.472105138E-2,2.619704645E1
1.400000000E2,2.386448232E0,-6.539163536E0,1.898021346E-1,2.769655155E-2,2.668924724E1
1.433333333E2,2.942344526E0,-7.098062009E0,1.683214270E-1,3.564162212E-2,2.747752904E1
1.466666667E2,3.279242459E0,-7.218959855E0,5.161173622E-2,4.936306032E-2,2.783546270E1
1.500000000E2,2.617168907E0,-6.985586885E0,1.964357479E-1,2.861375351E-3,2.853746293E1
1.533333333E2,2.158706236E0,-6.541186673E0,6.068492471E-2,3.867556869E-2,2.917596083E1
1.566666667E2,2.282975136E0,-6.757577445E0,9.495779820E-2,3.246375903E-2,2.942549585E1
1.600000000E2,2.606224668E0,-6.988938918E0,1.413585515E-1,1.613111855E-3,2.982301113E1
1.633333333E2,3.046456615E0,-7.310022547E0,1.151735241E-1,6.863190337E-2,3.036789539E1
1.666666667E2,3.147794884E0,-7.533231687E0,3.987147812E-1,3.571332503E-2,3.061303161E1
1.700000000E2,1.611423697E0,-9.547469390E0,3.808846997E-1,1.506691850E-1,3.314632787E1
1.733333333E2,1.608361641E0,-9.552598183E0,8.519567684E-1,1.094390068E-1,3.315230120E1
1.766666667E2,6.622528105E0,-1.222103604E1,8.520884217E-1,7.305514064E-2,3.883230348E1
1.800000000E2,6.735915119E0,-1.199744831E1,4.579065207E-4,1.458630254E-1,3.908299869E1
1.833333333E2,6.620170596E0,-1.222297542E1,1.277364751E-1,9.929449697E-3,3.933649282E1
1.866666667E2,6.399544741E0,-1.277977657E1,8.408214698E-2,1.490742809E-2,3.993541125E1
1.900000000E2,6.512065245E0,-1.277299987E1,1.745648289E-2,1.442351406E-2,4.004813564E1
1.933333333E2,6.515863367E0,-1.277610518E1,2.604270686E-3,5.804082014E-3,4.005304163E1
1.966666667E2,6.506435356E0,-1.278942353E1,1.740053701E-2,2.956882915E-3,4.006935928E1
2.000000000E2,6.399896982E0,-1.277316782E1,2.280384755E-2,4.765486147E-3,4.017713067E1
2.033333333E2,6.391054857E0,-1.288841413E1,1.639422024E-2,2.919540184E-3,4.029271568E1
2.066666667E2,6.509048540E0,-1.277876166E1,2.310430313E-2,6.080906936E-3,4.045379384E1
2.100000000E2,6.288952538E0,-1.277308871E1,3.732734957E-2,7.346092320E-3,4.067396294E1
2.133333333E2,6.289205057E0,-1.266216549E1,1.763598810E-2,6.733051682E-2,4.078488644E1
2.166666667E2,6.287114814E0,-1.289064760E1,4.184080121E-1,6.035330631E-2,4.101337810E1
2.200000000E2,4.617034622E0,-1.489477035E1,5.479498723E-1,2.082721398E-2,4.362214714E1
2.233333333E2,4.061907564E0,-1.578769014E1,1.805608794E-1,7.592901820E-2,4.467356132E1
2.266666667E2,3.947799344E0,-1.589532630E1,4.933235981E-2,9.412130803E-2,4.483042505E1
2.300000000E2,4.053622793E0,-1.611646817E1,3.707305264E-1,4.745660034E-2,4.507558282E1
2.333333333E2,5.387592112E0,-1.388647310E1,1.196386823E-1,7.861686531E-2,4.767411166E1
2.366666667E2,3.390708875E0,-1.655997340E1,5.328061633E-1,2.666928409E-2,5.101104835E1
2.400000000E2,3.497207160E0,-1.689370449E1,3.502659687E-2,8.346266041E-2,5.136136011E1
2.433333333E2,3.386628836E0,-1.679344839E1,4.914322501E-2,4.232711639E-3,5.151062113E1
2.466666667E2,3.169680692E0,-1.690159498E1,5.942066032E-2,6.882621253E-3,5.175303025E1
2.500000000E2,3.165022675E0,-1.712180158E1,3.319528815E-2,1.353497666E-1,5.197328610E1
2.533333333E2,3.164836370E0,-1.712284388E1,7.752876786E-1,8.073537687E-2,5.197434492E1
2.566666667E2,7.692307692E0,-1.961538462E1,8.747285280E-1,6.955330816E-2,5.714258987E1
2.600000000E2,8.137008072E0,-2.016983832E1,6.668929387E-2,1.371639012E-1,5.785334816E1
2.633333333E2,7.698317934E0,-2.005993928E1,1.603099794E-2,1.552295315E-3,5.830559459E1
2.666666667E2,8.140720099E0,-2.006302948E1,1.065112455E-1,2.836879341E-2,5.874800755E1
2.700000000E2,8.134285944E0,-2.062041975E1,1.655319087E-1,1.080889426E-2,5.930543495E1
2.733333333E2,7.360624257E0,-1.928247559E1,9.756983531E-2,3.145202798E-2,6.085095977E1
