mass_A
t,x,y,v,a,L
0.000000000E0,3.928571429E0,-1.071428571E0,�,�,0.000000000E0
3.333333333E0,1.970687659E0,-3.447163300E0,6.730190289E-1,�,3.078542570E0
6.666666667E0,1.021395452E0,-4.488977984E0,1.874408739E-1,2.039448026E-1,4.487986975E0
1.000000000E1,2.993723898E0,-2.729589907E0,8.276401616E-1,1.117458130E-1,7.131001522E0
1.333333333E1,2.857142857E0,7.142857143E-1,8.593034632E-1,1.132855809E-1,1.057758442E1
1.666666667E1,5.855897793E-1,2.468368959E0,4.939964988E-1,2.337956428E-1,1.344756028E1
2.000000000E1,7.084278841E-2,2.469968666E0,6.761579456E-1,1.243230094E-1,1.396230975E1
2.333333333E1,2.135331529E0,-1.764577631E0,6.007547887E-1,1.562260040E-1,1.867330711E1
2.666666667E1,2.500000000E0,-7.142857143E-1,6.506820271E-1,1.782593193E-1,1.978510575E1
3.000000000E1,3.362096110E-1,2.182619448E0,6.621239955E-1,5.706828103E-2,2.340091110E1
3.333333333E1,-1.811872317E-1,2.792285727E0,1.313401730E-1,1.456949437E-1,2.420053130E1
3.666666667E1,-2.900154716E-1,2.794599453E0,2.428214266E-1,3.437769210E-2,2.430938413E1
4.000000000E1,7.362764906E-1,1.458567409E0,2.066128883E-1,2.048244073E-2,2.599409681E1
4.333333333E1,2.328801681E-2,1.453284900E0,7.939782956E-2,3.428452652E-2,2.670710486E1
4.666666667E1,2.180733664E-1,1.350660127E0,4.540679235E-2,7.091724796E-3,2.692727110E1
5.000000000E1,1.884411740E-2,1.150605572E0,9.379295262E-2,1.378347658E-2,2.720960799E1
5.333333333E1,-3.989840437E-1,1.451769836E0,8.961936692E-2,7.912766932E-2,2.772466167E1
5.666666667E1,-4.953505077E-1,1.454850970E0,4.366301881E-1,4.725019042E-2,2.782107737E1
6.000000000E1,7.428294401E-1,-1.225806311E0,4.243115783E-1,4.179706260E-2,3.077387487E1
6.333333333E1,6.381796278E-1,-1.136847553E0,4.167807946E-2,7.876331015E-2,3.091122567E1
6.666666667E1,5.349948354E-1,-1.041394960E0,4.887472958E-2,2.097647690E-3,3.105178989E1
7.000000000E1,3.335224247E-1,-1.021304596E0,4.575198087E-2,4.269923061E-4,3.125426150E1
7.333333333E1,3.201977823E-1,-8.248417755E-1,4.630285221E-2,2.604220355E-3,3.145117566E1
7.666666667E1,1.156001344E-1,-8.026799742E-1,6.418070577E-2,1.286740520E-3,3.165697008E1
8.000000000E1,-9.092636274E-2,-7.063055021E-1,5.543964814E-2,8.502109313E-2,3.188487628E1
